		Trend	AXIN1	LRP5	DKK1	SFRP1	WNT11	MYH6	Lambda	Genomic
Roche	0.000	0		0.025					-0.025	
Roche	0.005	1.6	0.798	1.557	0.530	1.897	1.344	0.422	0.139	0.296
Roche	0.010	3.2	3.129	3.132	1.568	4.418	3.225	1.626	0.243	0.620
Roche	0.020	6.4	7.392	5.648	4.024	7.701	6.563	4.664	0.635	1.088
Roche	0.040	12.8	13.422		9.143	12.739	12.092	10.114	1.310	1.875
Roche	0.080	25.6	16.672		13.361	13.718	14.210	13.309	4.619	3.728
Roche	0.160	51.2	16.369		14.342	17.541	15.356	13.325	7.851	5.383
										
		Trend	AXIN1	LRP5	DKK1	SFRP1	WNT11	MYH6	Lambda	Genomic
SensiFast	0.000	0		0.035					-0.035	
SensiFast	0.005	1.75	0.950	1.164	0.432	2.092	1.476	0.302	0.163	0.198
SensiFast	0.010	3.5	3.579	3.399	1.489	5.419	3.857	1.349	0.430	0.557
SensiFast	0.020	7	9.162	7.476	3.822	9.479	7.582	3.902	0.998	1.197
SensiFast	0.040	14	16.260		8.442	15.126	12.474	9.694	1.991	2.088
SensiFast	0.080	28	21.064		14.228	18.623	17.823	15.726	4.772	4.278
SensiFast	0.160	56	21.749			21.932	20.744	19.188	10.897	6.936
										
		Trend	AXIN1	LRP5	DKK1	SFRP1	WNT11	MYH6	Lambda	Genomic
LC Green	0.000	0		0.609					-0.609	
LC Green	0.005	3.5	-4.216	-4.015	-3.767	-1.563	-2.003	-4.623	-5.297	-5.013
LC Green	0.010	7	3.246	2.424	2.268	6.993	5.173	0.374	-0.958	-0.401
LC Green	0.020	14	10.225	9.557	6.328	16.070	12.102	3.662	1.077	1.897
LC Green	0.040	28	29.956		21.581	36.430	26.774	10.924	3.810	4.679
LC Green	0.080	56	65.644		37.471	67.738	50.406	29.370	11.313	12.847
LC Green	0.160	112	102.563		69.415	98.336	85.797	68.965	27.814	25.687
