Mix	µg DNA	AXIN1	LRP5	DKK1	SFRP1	WNT11	MYH6	Lambda	Genomic
									
Roche	0.000		0.89					0.87	
Roche	0.005	0.50	0.55	0.46	0.79	0.56	0.32	0.24	0.27
Roche	0.010	0.89	0.76	0.68	1.14	0.94	0.55	0.26	0.37
Roche	0.020	1.21	0.98	0.78	1.13	1.13	0.72	0.28	0.31
Roche	0.040	1.95		1.41	2.10	1.69	1.50	0.37	0.44
Roche	0.080	1.21		1.04	1.55	1.46	1.24	0.72	0.53
Roche	0.160	1.19		1.10	1.16	1.14	1.13	0.78	0.56
									
SensiFast	0.000		0.89					0.84	
SensiFast	0.005	0.55	0.57	0.52	0.91	0.68	0.36	0.33	0.29
SensiFast	0.010	0.89	0.81	0.62	1.27	0.99	0.51	0.31	0.29
SensiFast	0.020	1.05	1.01	0.62	1.19	0.82	0.56	0.21	0.20
SensiFast	0.040	1.35		1.11	1.57	1.27	1.35	0.32	0.39
SensiFast	0.080	1.21		1.24	1.18	1.14	0.91	0.33	0.47
SensiFast	0.160	1.13			1.03	1.02	0.91	0.62	0.42
									
LCGreen	0.000		1.76					1.70	
LCGreen	0.005	0.82	0.77	0.89	1.00	0.88	0.77	0.74	0.68
LCGreen	0.010	1.26	1.29	1.23	1.56	1.34	1.01	0.98	0.88
LCGreen	0.020	1.33	1.29	1.21	1.47	1.26	0.93	0.77	0.72
LCGreen	0.040	1.44		0.78	1.56	1.15	0.68	0.34	0.49
LCGreen	0.080	1.55		1.15	1.54	1.01	0.84	0.50	0.45
LCGreen	0.160	1.45		1.15	1.35	1.13	0.99	0.54	0.32	
