	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
A	FSTL_1_A_047																				
B	FSTL_1_B_042																				
C	FSTL_1_C_040																				
D	FSTL_1_D_105																				
E	FSTL_1_E_097																				
F	FSTL_1_F_109																				
G	FSTL_1_H_201																				
H	FSTL_1_I_204																				
I	FSTL_1_K_219																				
J	No Primer																				
K	FSTL_1 (classic 259)																				
L	FSTL_1_L_412																				
M	FSTL_1_M_386																				
N	FSTL_1_O_417																				
O	FSTL_1_P_820																				
P	FSTL_1_T_770																				
	100nM	100nM	100nM	100nM	100nM	100nM	100nM	250nM	250nM	250nM	250nM	250nM	250nM	250nM	750nM	750nM	750nM	750nM	750nM	750nM	750nM
			100nM Primers							250nM Primers							750nM Primers				
																					
		Mix:	"SensiFast SYBR No-Rox Mix; BIO-98005; Bioline GmbH; Germany"																		
		DNA:	"Human Genomic DNA; 11691112001; Roche Diagnostics GmbH; Mannheim; Germany"																		
																					
		Approach: Make mastermix including everything except primers, aliquot and add primer dilutions.																			
																					
			Primer Stock Solutions: 100 µM																		
			Primer dilution 1:10			forward primer 10µl + reverse primer 10µl + 80µl water															
																					
					1:10	Water		1:10	Water												
			Dil 1.0 is 1:100		2	18		5	45												
			Dil 2.5 is 1:40		5	15		12.5	37.5												
			Dil 7.5 is 1:13.33		15	5		37.5	12.5												
																					
																					
			Hum Gen DNA 1:10 dil  = 20ng/µl																		
			4ng per reaction = 1200 copies																		
																					
					Replicates			Sum													
																					
				1	8			50													
																					
		4ng	DNA	0.2	1.6			80.0													
			Water	3.8	30.4			1520.0													
			Primer	1.0	8.0			400.0													
			Puffer	5.0	40.0			2000.0													
																					
			Sum	10.0	80.0			4000.0													
																					
			no Primers	9.0	72.0																
