Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Primer Test - EMBL	Primer Test	C3	genomic DNA 4ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1150.9	11	9	26	1.9831	0.9961	1.9972	0.0315	26.83	811.4	670.5	True	0	True	False	True
Primer Test - EMBL	Primer Test	C4	genomic DNA 4ng	std	ds	FSTL_1_B_042	toi	SYBR - Roche	non-saturating DNA binding dye			56027.5	10	9	26	1.9173	0.9999	1.9354	0.0303	26.93	2093.2	1625.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	C5	genomic DNA 4ng	std	ds	FSTL_1_C_040	toi	SYBR - Roche	non-saturating DNA binding dye			8349.2	10	9	25	2.0473	0.9983	2.0389	0.0608	25.93	773.8	860.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	C6	genomic DNA 4ng	std	ds	FSTL_1_D_105	toi	SYBR - Roche	non-saturating DNA binding dye			26641.8	9	8	25	1.9294	0.9999	1.9467	0.0345	26.11	1216.1	962.9	True	0	True	False	True
Primer Test - EMBL	Primer Test	C7	genomic DNA 4ng	std	ds	FSTL_1_E_097	toi	SYBR - Roche	non-saturating DNA binding dye			6892.0	9	8	25	1.9353	0.9996	1.9267	0.0199	26.41	992.0	1116.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	C8	genomic DNA 4ng	std	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			6380.4	10	9	25	1.9397	0.9990	1.9334	0.0246	26.40	840.0	915.2	True	0	True	False	True
Primer Test - EMBL	Primer Test	C9	genomic DNA 4ng	std	ds	FSTL_1_G_211	toi	SYBR - Roche	non-saturating DNA binding dye			10605.3	12	9	25	1.9578	0.9974	1.9226	0.0239	26.19	389.0	625.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	C10	genomic DNA 4ng	std	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			8156.3	9	8	25	1.8642	0.9998	1.8844	0.0575	26.07	1598.9	1207.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	C11	genomic DNA 4ng	std	ds	FSTL_1_I_204	toi	SYBR - Roche	non-saturating DNA binding dye			13747.6	11	9	25	1.9017	0.9991	1.8893	0.0212	25.73	1165.5	1380.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	C12	genomic DNA 4ng	std	ds	FSTL_1_K_219	toi	SYBR - Roche	non-saturating DNA binding dye			7553.4	12	9	25	1.8921	0.9995	1.9011	0.0124	25.61	1330.2	1177.9	True	0	True	False	True
Primer Test - EMBL	Primer Test	C13	genomic DNA 4ng	std	ds	FSTL_1_*_259	toi	SYBR - Roche	non-saturating DNA binding dye			10373.8	12	9	24	1.9580	0.9985	1.9087	0.0477	25.45	524.0	1002.5	True	0	True	False	True
Primer Test - EMBL	Primer Test	C14	genomic DNA 4ng	std	ds	FSTL_1_*_259 AMC	toi	SYBR - Roche	non-saturating DNA binding dye			14441.1	12	9	25	1.9346	0.9994	1.9387	0.0382	25.61	636.6	603.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	C15	genomic DNA 4ng	std	ds	FSTL_1_L_412	toi	SYBR - Roche	non-saturating DNA binding dye			4024.9	12	9	25	1.8524	0.9997	1.8687	0.0351	25.77	1107.8	884.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	C16	genomic DNA 4ng	std	ds	FSTL_1_M_398	toi	SYBR - Roche	non-saturating DNA binding dye			6996.4	11	9	25	1.8807	0.9994	1.8706	0.0151	25.65	838.0	961.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	C17	genomic DNA 4ng	std	ds	FSTL_1_N_386	toi	SYBR - Roche	non-saturating DNA binding dye			-16222.9	10	9	25	1.9461	0.9902	1.8870	0.0270	25.79	326.3	722.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	C18	genomic DNA 4ng	std	ds	FSTL_1_O_417	toi	SYBR - Roche	non-saturating DNA binding dye			4045.5	12	9	25	1.8731	0.9998	1.8842	0.0191	25.69	862.8	742.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	C19	genomic DNA 4ng	std	ds	FSTL_1_P_820	toi	SYBR - Roche	non-saturating DNA binding dye			-1642.7	11	9	25	1.8325	0.9998	1.8278	0.0054	26.23	557.0	595.5	True	0	True	False	True
Primer Test - EMBL	Primer Test	C20	genomic DNA 4ng	std	ds	FSTL_1_R_790	toi	SYBR - Roche	non-saturating DNA binding dye	no amplification in positive control	indiv PCR eff is 1.394 < 1.7;mean PCR eff is 1.429 < 1.7	16756.2	29	9	31	1.3943	0.9991	1.4290	0.0111	32.40	96035.4	43303.3	False	0	True	False	False
Primer Test - EMBL	Primer Test	C21	genomic DNA 4ng	std	ds	FSTL_1_S_778	toi	SYBR - Roche	non-saturating DNA binding dye			13612.5	9	8	25	1.9446	0.9988	1.8933	0.0404	26.03	140.2	281.2	True	0	True	False	True
Primer Test - EMBL	Primer Test	C22	genomic DNA 4ng	std	ds	FSTL_1_T_770	toi	SYBR - Roche	non-saturating DNA binding dye			14065.0	11	9	28	1.9309	0.9995	1.8313	0.0482	29.33	19.5	92.2	True	0	True	False	True
Primer Test - EMBL	Primer Test	D3	genomic DNA 4ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			18275.1	8	7	26	1.9933	0.9999	1.9972	0.0315	26.86	692.4	657.2	True	0	True	False	True
Primer Test - EMBL	Primer Test	D4	genomic DNA 4ng	std	ds	FSTL_1_B_042	toi	SYBR - Roche	non-saturating DNA binding dye			4063.0	12	9	26	1.9615	0.9993	1.9354	0.0303	26.93	1137.2	1630.8	True	0	True	False	True
Primer Test - EMBL	Primer Test	D5	genomic DNA 4ng	std	ds	FSTL_1_C_040	toi	SYBR - Roche	non-saturating DNA binding dye			7562.1	8	7	25	2.0272	0.9991	2.0389	0.0608	26.01	942.3	811.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	D6	genomic DNA 4ng	std	ds	FSTL_1_D_105	toi	SYBR - Roche	non-saturating DNA binding dye			41577.6	5	4	25	1.9952	0.9997	1.9467	0.0345	26.08	516.6	980.9	True	0	True	False	True
Primer Test - EMBL	Primer Test	D7	genomic DNA 4ng	std	ds	FSTL_1_E_097	toi	SYBR - Roche	non-saturating DNA binding dye			10420.9	9	8	25	1.8866	0.9998	1.9267	0.0199	26.29	2103.7	1209.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	D8	genomic DNA 4ng	std	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			5859.0	10	9	26	1.9351	0.9994	1.9334	0.0246	26.51	834.0	852.8	True	0	True	False	True
Primer Test - EMBL	Primer Test	D9	genomic DNA 4ng	std	ds	FSTL_1_G_211	toi	SYBR - Roche	non-saturating DNA binding dye			12869.6	10	9	25	1.9123	0.9957	1.9226	0.0239	26.23	701.1	609.4	True	0	True	False	True
Primer Test - EMBL	Primer Test	D10	genomic DNA 4ng	std	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			21493.8	12	9	25	1.8982	0.9991	1.8844	0.0575	26.09	986.3	1192.1	True	0	True	False	True
Primer Test - EMBL	Primer Test	D11	genomic DNA 4ng	std	ds	FSTL_1_I_204	toi	SYBR - Roche	non-saturating DNA binding dye			11005.3	14	9	25	1.8989	0.9987	1.8893	0.0212	25.65	1273.4	1450.8	True	0	True	False	True
Primer Test - EMBL	Primer Test	D12	genomic DNA 4ng	std	ds	FSTL_1_K_219	toi	SYBR - Roche	non-saturating DNA binding dye			10952.9	14	9	25	1.9016	0.9989	1.9011	0.0124	25.58	1196.2	1203.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	D13	genomic DNA 4ng	std	ds	FSTL_1_*_259	toi	SYBR - Roche	non-saturating DNA binding dye			9723.4	9	8	24	1.9005	0.9987	1.9087	0.0477	25.36	1180.7	1058.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	D14	genomic DNA 4ng	std	ds	FSTL_1_*_259 AMC	toi	SYBR - Roche	non-saturating DNA binding dye			6574.7	10	9	24	1.9685	0.9782	1.9387	0.0382	25.33	496.1	730.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	D15	genomic DNA 4ng	std	ds	FSTL_1_L_412	toi	SYBR - Roche	non-saturating DNA binding dye			9651.9	10	9	25	1.8807	0.9992	1.8687	0.0351	25.89	694.0	818.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	D16	genomic DNA 4ng	std	ds	FSTL_1_M_398	toi	SYBR - Roche	non-saturating DNA binding dye			11488.3	12	9	25	1.8717	0.9988	1.8706	0.0151	25.64	950.7	965.1	True	0	True	False	True
Primer Test - EMBL	Primer Test	D17	genomic DNA 4ng	std	ds	FSTL_1_N_386	toi	SYBR - Roche	non-saturating DNA binding dye			7818.9	12	9	25	1.8619	0.9991	1.8870	0.0270	25.76	1039.2	735.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	D18	genomic DNA 4ng	std	ds	FSTL_1_O_417	toi	SYBR - Roche	non-saturating DNA binding dye			10659.0	13	9	25	1.8850	0.9996	1.8842	0.0191	25.57	790.4	799.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	D19	genomic DNA 4ng	std	ds	FSTL_1_P_820	toi	SYBR - Roche	non-saturating DNA binding dye			11198.7	12	9	25	1.8198	0.9991	1.8278	0.0054	26.32	631.8	563.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	D20	genomic DNA 4ng	std	ds	FSTL_1_R_790	toi	SYBR - Roche	non-saturating DNA binding dye	no amplification in positive control	indiv PCR eff is 1.390 < 1.7;mean PCR eff is 1.429 < 1.7	34532.6	27	9	31	1.3901	0.9974	1.4290	0.0111	32.37	107274.1	43839.8	False	0	True	False	False
Primer Test - EMBL	Primer Test	D21	genomic DNA 4ng	std	ds	FSTL_1_S_778	toi	SYBR - Roche	non-saturating DNA binding dye			6524.7	14	9	25	1.8666	0.9969	1.8933	0.0404	26.07	397.8	274.5	True	0	True	False	True
Primer Test - EMBL	Primer Test	D22	genomic DNA 4ng	std	ds	FSTL_1_T_770	toi	SYBR - Roche	non-saturating DNA binding dye			-3991.9	12	9	28	1.8244	0.9992	1.8313	0.0482	29.30	104.8	93.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	E3	genomic DNA 4ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			-3326.6	11	9	26	1.9900	0.9928	1.9972	0.0315	26.84	733.2	665.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	E4	genomic DNA 4ng	std	ds	FSTL_1_B_042	toi	SYBR - Roche	non-saturating DNA binding dye			4437.9	9	8	26	1.8819	0.9990	1.9354	0.0303	26.86	3634.9	1711.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	E5	genomic DNA 4ng	std	ds	FSTL_1_C_040	toi	SYBR - Roche	non-saturating DNA binding dye			11155.9	12	9	25	2.1611	0.9881	2.0389	0.0608	25.95	187.2	847.0	True	0	True	False	True
Primer Test - EMBL	Primer Test	E6	genomic DNA 4ng	std	ds	FSTL_1_D_105	toi	SYBR - Roche	non-saturating DNA binding dye			10098.7	10	9	25	1.9776	0.9979	1.9467	0.0345	26.09	647.5	975.8	True	0	True	False	True
Primer Test - EMBL	Primer Test	E7	genomic DNA 4ng	std	ds	FSTL_1_E_097	toi	SYBR - Roche	non-saturating DNA binding dye			6229.7	11	9	25	1.9200	0.9953	1.9267	0.0199	26.27	1348.2	1229.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	E8	genomic DNA 4ng	std	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			13966.0	11	9	25	1.8836	0.9845	1.9334	0.0246	26.47	1748.2	876.4	True	0	True	False	True
Primer Test - EMBL	Primer Test	E9	genomic DNA 4ng	std	ds	FSTL_1_G_211	toi	SYBR - Roche	non-saturating DNA binding dye			5752.3	10	9	25	1.8965	0.9971	1.9226	0.0239	26.19	894.0	625.1	True	0	True	False	True
Primer Test - EMBL	Primer Test	E10	genomic DNA 4ng	std	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			12285.1	11	9	25	1.8619	0.9999	1.8844	0.0575	26.10	1614.6	1180.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	E11	genomic DNA 4ng	std	ds	FSTL_1_I_204	toi	SYBR - Roche	non-saturating DNA binding dye			11239.0	12	9	25	1.9025	0.9958	1.8893	0.0212	25.74	1143.6	1368.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	E12	genomic DNA 4ng	std	ds	FSTL_1_K_219	toi	SYBR - Roche	non-saturating DNA binding dye			11251.0	12	9	25	1.8970	0.9993	1.9011	0.0124	25.61	1246.5	1179.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	E13	genomic DNA 4ng	std	ds	FSTL_1_*_259	toi	SYBR - Roche	non-saturating DNA binding dye		PCR efficiency outlier	898647.2	5	4	24	2.2813	0.9998	1.9087	0.0477	25.36	11.5	1057.0	True	0	True	True	True
Primer Test - EMBL	Primer Test	E14	genomic DNA 4ng	std	ds	FSTL_1_*_259 AMC	toi	SYBR - Roche	non-saturating DNA binding dye			21029.2	15	9	25	1.9156	0.9979	1.9387	0.0382	25.55	855.5	630.3	True	0	True	False	True
Primer Test - EMBL	Primer Test	E15	genomic DNA 4ng	std	ds	FSTL_1_L_412	toi	SYBR - Roche	non-saturating DNA binding dye			16006.4	10	9	25	1.9344	0.9980	1.8687	0.0351	25.74	370.4	900.7	True	0	True	False	True
Primer Test - EMBL	Primer Test	E16	genomic DNA 4ng	std	ds	FSTL_1_M_398	toi	SYBR - Roche	non-saturating DNA binding dye			14002.0	10	9	25	1.8605	0.9991	1.8706	0.0151	25.68	1080.6	939.9	True	0	True	False	True
Primer Test - EMBL	Primer Test	E17	genomic DNA 4ng	std	ds	FSTL_1_N_386	toi	SYBR - Roche	non-saturating DNA binding dye			8972.5	11	9	25	1.8972	0.9999	1.8870	0.0270	25.86	601.7	691.6	True	0	True	False	True
Primer Test - EMBL	Primer Test	E18	genomic DNA 4ng	std	ds	FSTL_1_O_417	toi	SYBR - Roche	non-saturating DNA binding dye			7908.3	12	9	25	1.9156	0.9990	1.8842	0.0191	25.64	501.4	766.5	True	0	True	False	True
Primer Test - EMBL	Primer Test	E19	genomic DNA 4ng	std	ds	FSTL_1_P_820	toi	SYBR - Roche	non-saturating DNA binding dye			12647.0	11	9	25	1.8229	0.9978	1.8278	0.0054	26.25	629.3	586.8	True	0	True	False	True
