Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Eva Green A	Run 1	B7	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			109206	9	8	26	1.9721	0.9993	1.9750	0.0317	27.10	614.9	590.9	True	0	True	False	True
Eva Green A	Run 1	B8	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			92310	9	8	26	1.9294	0.9994	1.9750	0.0317	27.09	1112.8	591.5	True	0	True	False	True
Eva Green A	Run 1	B9	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			91974	10	9	26	2.0099	0.9988	1.9750	0.0317	27.16	352.0	566.7	True	0	True	False	True
Eva Green A	Run 1	B10	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			86705	9	8	26	1.9541	0.9991	1.9750	0.0317	27.12	775.2	581.4	True	0	True	False	True
Eva Green A	Run 1	B11	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			85747	10	9	26	2.0093	0.9908	1.9750	0.0317	27.14	358.0	571.6	True	0	True	False	True
Eva Green A	Run 1	B12	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			93706	8	7	26	1.9425	0.9985	1.9750	0.0317	27.12	907.3	579.0	True	0	True	False	True
Eva Green A	Run 1	B13	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H R	toi	Eva Green H	saturating DNA binding dye			97627	10	9	26	2.0074	0.9962	1.9750	0.0317	27.11	377.5	587.0	True	0	True	False	True
Eva Green A	Run 1	C7	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			86547	10	9	27	1.9123	0.9990	1.8856	0.0282	28.47	580.9	866.3	True	0	True	False	True
Eva Green A	Run 1	C8	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			86115	12	9	28	1.8227	0.9993	1.8856	0.0282	28.51	2228.8	846.4	True	0	True	False	True
Eva Green A	Run 1	C9	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			83239	10	9	27	1.8937	0.9997	1.8856	0.0282	28.43	786.3	887.7	True	0	True	False	True
Eva Green A	Run 1	C10	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			90705	10	9	27	1.8816	0.9995	1.8856	0.0282	28.39	970.6	913.2	True	0	True	False	True
Eva Green A	Run 1	C11	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			94543	10	9	27	1.9130	0.9971	1.8856	0.0282	28.43	588.2	886.5	True	0	True	False	True
Eva Green A	Run 1	C12	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			94605	9	8	27	1.8922	0.9956	1.8856	0.0282	28.45	793.9	875.9	True	0	True	False	True
Eva Green A	Run 1	C13	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H R	toi	Eva Green H	saturating DNA binding dye			102547	12	9	27	1.8840	0.9989	1.8856	0.0282	28.47	889.0	867.4	True	0	True	False	True
Eva Green A	Run 1	D7	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			69364	24	9	26	1.8606	0.9997	1.8669	0.0042	26.90	3360.1	3069.5	True	0	True	False	True
Eva Green A	Run 1	D8	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			66662	24	9	26	1.8642	0.9993	1.8669	0.0042	26.93	3130.5	3010.3	True	0	True	False	True
Eva Green A	Run 1	D9	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			65240	24	9	26	1.8716	0.9999	1.8669	0.0042	26.83	2987.0	3195.2	True	0	True	False	True
Eva Green A	Run 1	D10	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			64005	16	9	26	1.8657	0.9986	1.8669	0.0042	26.80	3327.3	3272.8	True	0	True	False	True
Eva Green A	Run 1	D11	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			72575	24	9	26	1.8738	0.9999	1.8669	0.0042	26.90	2780.8	3070.1	True	0	True	False	True
Eva Green A	Run 1	D12	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			78183	24	9	26	1.8642	0.9996	1.8669	0.0042	26.87	3241.0	3116.0	True	0	True	False	True
Eva Green A	Run 1	D13	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 H I	toi	Eva Green H	saturating DNA binding dye			81135	24	9	26	1.8682	0.9992	1.8669	0.0042	26.92	2965.8	3021.2	True	0	True	False	True
Eva Green A	Run 1	E7	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			63721	25	9	27	1.7997	0.9999	1.7938	0.0087	27.89	4586.7	5028.2	True	0	True	False	True
Eva Green A	Run 1	E8	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			67043	19	9	27	1.7818	0.9999	1.7938	0.0087	27.86	6170.3	5117.6	True	0	True	False	True
Eva Green A	Run 1	E9	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			54832	25	9	27	1.7849	0.9998	1.7938	0.0087	27.82	6029.1	5254.0	True	0	True	False	True
Eva Green A	Run 1	E10	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			64994	19	9	27	1.8042	0.9998	1.7938	0.0087	27.80	4522.9	5312.3	True	0	True	False	True
Eva Green A	Run 1	E11	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			64406	25	9	27	1.8022	0.9999	1.7938	0.0087	27.84	4559.4	5191.8	True	0	True	False	True
Eva Green A	Run 1	E12	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye			71176	24	9	27	1.7899	1.0000	1.7938	0.0087	27.84	5498.9	5178.3	True	0	True	False	True
Eva Green A	Run 1	E13	Genomic DNA 7ng	unkn	ds	FSTL_1_H_201 H I	toi	Eva Green H	saturating DNA binding dye		indiv PCR eff is 1.655 < 1.7;PCR efficiency outlier	375588	25	9	27	1.6549	0.9940	1.7938	0.0087	27.72	51872.2	5553.7	True	0	True	True	True
Eva Green A	Run 1	F7	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 M R	toi	Eva Green M	saturating DNA binding dye			24804	8	7	26	1.9328	0.9993	2.0186	0.0675	26.93	1184.9	367.6	True	0	True	False	True
Eva Green A	Run 1	F8	Genomic DNA 7ng	unkn	ds	FSTL_1_F_109 M R	toi	Eva Green M	saturating DNA binding dye			27345	8	7	26	2.0039	0.9997	2.0186	0.0675	26.90	457.9	375.8	True	0	True	False	True
