Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Eva Green B	Run 1	A4	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			73609	23	9	25	1.8304	0.9987	1.7917	0.0648	25.89	3844.1	6683.3	True	0	True	False	True
Eva Green B	Run 1	A5	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			72492	23	9	25	1.8349	0.9975	1.7917	0.0648	25.89	3601.2	6674.6	True	0	True	False	True
Eva Green B	Run 1	A6	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye		indiv PCR eff is 1.655 < 1.7	71604	23	9	25	1.6551	0.9931	1.7917	0.0648	25.82	53893.2	6950.3	True	0	True	False	True
Eva Green B	Run 1	A7	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			74758	23	9	25	1.8711	0.9998	1.7917	0.0648	25.86	2216.9	6802.9	True	0	True	False	True
Eva Green B	Run 1	A8	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			85583	23	9	25	1.8033	0.9988	1.7917	0.0648	25.87	5735.0	6776.7	True	0	True	False	True
Eva Green B	Run 1	A9	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			74991	23	9	25	1.7623	0.9971	1.7917	0.0648	25.85	10494.1	6839.0	True	0	True	False	True
Eva Green B	Run 1	A10	genomic DNA 7ng	std	ds	FSTL_1_A_047 100nM	toi	Eva Green	saturating DNA binding dye			81239	23	9	25	1.7849	0.9993	1.7917	0.0648	25.93	7221.3	6539.8	True	0	True	False	True
Eva Green B	Run 1	A11	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			104683	14	9	23	1.8544	0.9989	1.8479	0.0730	24.00	22083.6	24021.2	True	0	True	False	True
Eva Green B	Run 1	A12	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			104427	15	9	23	1.9183	0.9966	1.8479	0.0730	23.95	10066.6	24640.4	True	0	True	False	True
Eva Green B	Run 1	A13	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			99659	21	9	23	1.9663	0.9972	1.8479	0.0730	24.00	5381.1	23882.3	True	0	True	False	True
Eva Green B	Run 1	A14	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			76056	23	9	25	1.8982	0.9989	1.8479	0.0730	25.61	4492.9	8935.0	True	0	True	False	True
Eva Green B	Run 1	A15	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			74751	23	9	25	1.7649	0.9900	1.8479	0.0730	25.57	29618.8	9148.7	True	0	True	False	True
Eva Green B	Run 1	A16	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green	saturating DNA binding dye			74880	23	9	25	1.8826	0.9995	1.8479	0.0730	25.58	5643.0	9081.0	True	0	True	False	True
