		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
C	FSTL_1_F_109	EMBL	EMBL	EMBL	20	20	20	7	7	7	2	2	2	0.7	0.7	0.7	0.2	0.2	0.2	0	0	0	10^1	10^1	10^1		
D	FSTL_1_K_219	EMBL	EMBL	EMBL	20	20	20	7	7	7	2	2	2	0.7	0.7	0.7	0.2	0.2	0.2	0	0	0	10^1	10^1	10^1		
E	FSTL_1_H_201	EMBL	EMBL	EMBL	20	20	20	7	7	7	2	2	2	0.7	0.7	0.7	0.2	0.2	0.2	0	0	0	10^1	10^1	10^1		
F	FSTL_1_L_412	EMBL	EMBL	EMBL	20	20	20	7	7	7	2	2	2	0.7	0.7	0.7	0.2	0.2	0.2	0	0	0	10^1	10^1	10^1		
										given ng DNA per tube													given copies DNA per tube				
																											
G	FSTL_1_F_109	10^9	10^9	10^9	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2	x	
H	FSTL_1_K_219	10^9	10^9	10^9	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2	x	Fresh stock
I	FSTL_1_H_201	10^9	10^9	10^9	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2	x	
J	FSTL_1_L_412	10^9	10^9	10^9	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2	x	
K	FSTL_1_F_109	10^1	10^1	10^1	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2		
L	FSTL_1_K_219	10^1	10^1	10^1	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2		Freeze
M	FSTL_1_H_201	10^1	10^1	10^1	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2		
N	FSTL_1_L_412	10^1	10^1	10^1	10^8	10^8	10^8	10^7	10^7	10^7	10^6	10^6	10^6	10^5	10^5	10^5	10^4	10^4	10^4	10^3	10^3	10^3	10^2	10^2	10^2		
																											
																											
																											
	Mix:	"LightCycler® 480 SYBR® Green I Master; 04887352001; Roche Diagnostics GmbH; Mannheim; Germany"																									
	DNA:	"Human Genomic DNA; 11691112001; Roche Diagnostics GmbH; Mannheim; Germany"																									
	DNA:	Purified PCR amplicon dilutions from previous experiment.																									
																											
		Primer Stock Solutions: 100 µM																									
		Primer dilution 1:10			forward primer 10µl + reverse primer 10µl + 80µl water																						
																											
				1:10	Water		1:10	Water																			
		Dil 1.0 is 1:100		2	18		5	45																			
		Dil 2.5 is 1:40		5	15		12.5	37.5																			
		Dil 7.5 is 1:13.33		15	5		37.5	12.5																			
																											
																											
		Hum Gen DNA 1:10 dil  = 20ng/µl																									
		4ng per reaction = 1200 copies																									
																											
	ng/µl			20	7	2	0.7	0.2	0																		
	Hum Gen DNA 1:10 dil  = 20ng/µl			600	420	60	21	6	0																		
	Water			0	780	540	579	594	600																		
																											
	copies/µl			6000	2100	600	210	60																			
																											
																											
				Replicates					Sum																		
																											
			1	4		26			4																		
																											
		DNA	1.00	4.0		104			416.0																		
		Water	3.75	15.0		390			1560.0																		
	1:10!	Primer	0.25	1.0		26			104.0																		
		Puffer	5.00	20.0		520			2080.0																		
																											
		Sum	10.00	40.0		1040			4160.0																		
																											
		no DNA	9.00	36.0		936																					
