Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
DNA Dilutions - EMBL	P10 - DNA Dilutions	A19	Buccal Swap 1	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			34196	21	9	23	1.7596	0.9959	1.8960	0.0841	23.95	43856.1	7333.2	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	A20	Buccal Swap 1	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			33623	21	9	23	1.7413	0.9958	1.8960	0.0841	24.02	54285.9	7028.4	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	A21	Buccal Swap 1	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			31377	21	9	23	1.7505	0.9966	1.8960	0.0841	24.01	47991.3	7059.7	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	A22	Buccal Swap 1	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			37045	21	9	23	1.7235	0.9993	1.8679	0.0894	23.77	43034.2	6360.0	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	A23	Buccal Swap 1	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			37089	21	9	23	1.7266	0.9993	1.8679	0.0894	23.82	40365.3	6199.5	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	A24	Buccal Swap 1	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			33857	13	9	23	1.7380	0.9972	1.8679	0.0894	23.81	34655.2	6228.3	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B19	Buccal Swap 2	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			50569	20	9	22	1.7548	0.9965	1.8960	0.0841	22.96	81699.8	13821.2	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B20	Buccal Swap 2	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			46904	20	9	22	1.7030	0.9933	1.8960	0.0841	22.97	162446.4	13799.7	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B21	Buccal Swap 2	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			50062	20	9	22	1.7492	0.9947	1.8960	0.0841	22.95	88724.2	13970.3	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B22	Buccal Swap 2	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			46120	20	9	22	1.7321	0.9979	1.8679	0.0894	22.83	64483.6	11513.2	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B23	Buccal Swap 2	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			65124	20	9	22	1.7241	0.9995	1.8679	0.0894	22.78	73437.1	11848.6	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	B24	Buccal Swap 2	unkn	ds	FSTL_1_H_201	toi	SYBR - Roche	non-saturating DNA binding dye			46926	20	9	22	1.7412	0.9986	1.8679	0.0894	22.81	57575.2	11597.6	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	C19	Buccal Swap 3	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			34529	16	9	23	1.8344	0.9954	1.8960	0.0841	23.72	18633.1	8514.3	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	C20	Buccal Swap 3	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			33527	21	9	23	1.8609	0.9958	1.8960	0.0841	23.66	13751.2	8838.5	True	0	True	False	True
DNA Dilutions - EMBL	P10 - DNA Dilutions	C21	Buccal Swap 3	unkn	ds	FSTL_1_F_109	toi	SYBR - Roche	non-saturating DNA binding dye			38786	16	9	23	1.8410	0.9995	1.8960	0.0841	23.66	17740.0	8844.3	True	0	True	False	True
