Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Own Mix C	Run 1	G1	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			13292	9	8	25	2.0211	0.9945	1.9827	0.0440	25.56	741.0	1209.7	True	0	True	False	True
Own Mix C	Run 1	G2	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			13809	8	7	25	2.0423	0.9990	1.9827	0.0440	25.55	572.9	1220.5	True	0	True	False	True
Own Mix C	Run 1	G3	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			15543	8	7	24	2.0294	0.9991	1.9827	0.0440	25.49	703.3	1273.2	True	0	True	False	True
Own Mix C	Run 1	G4	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			12045	8	7	24	1.9388	0.9935	1.9827	0.0440	25.39	2407.3	1362.3	True	0	True	False	True
Own Mix C	Run 1	G5	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			32465	7	6	24	1.9227	0.9999	1.9827	0.0440	25.48	2804.5	1282.2	True	0	True	False	True
Own Mix C	Run 1	G6	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			27544	9	8	25	1.9630	0.9991	1.9827	0.0440	25.57	1554.2	1203.4	True	0	True	False	True
Own Mix C	Run 1	G7	4ng gDNA	unkn	ds	FSTL_1_A_047 100nM	toi	SYBR 1:800	non-saturating DNA binding dye			9352	9	8	25	1.9617	0.9897	1.9827	0.0440	25.54	1615.8	1231.4	True	0	True	False	True
Own Mix C	Run 1	G8	4ng gDNA	unkn	ds	FSTL_1_A_047	toi	SYBR 1:800	non-saturating DNA binding dye			-3099	10	9	24	1.8909	0.9916	1.7332	0.1706	25.31	4785.4	43364.0	True	0	True	False	True
Own Mix C	Run 1	G9	4ng gDNA	unkn	ds	FSTL_1_A_047	toi	SYBR 1:800	non-saturating DNA binding dye		indiv PCR eff is 1.496 < 1.7	-5094	10	9	24	1.4963	0.9364	1.7332	0.1706	24.83	2167604.7	56297.1	True	0	True	False	True
Own Mix C	Run 1	G10	4ng gDNA	unkn	ds	FSTL_1_A_047	toi	SYBR 1:800	non-saturating DNA binding dye		no amplification;no TD0 found	-15829	-1	-1	-1	1.0000	-1.0000	1.7332	0.1706	-1.00	-1.0	-1.0	False	2	True	False	False
Own Mix C	Run 1	G11	4ng gDNA	unkn	ds	FSTL_1_A_047	toi	SYBR 1:800	non-saturating DNA binding dye			8946	10	9	24	1.8125	0.9956	1.7332	0.1706	25.27	14288.8	44223.4	True	0	True	False	True
