	Primer Conc		2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
A	100nM	FSTL_1_D_105	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
B	100nM	FSTL_1_F_109	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
C	100nM	FSTL_1_K_219	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
D	100nM	FSTL_1_O_417	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
E	100nM	FSTL_1_T_770	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
F	250nM	No Primer	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
G	250nM	FSTL_1_D_105	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
H	250nM	FSTL_1_F_109	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
I	250nM	FSTL_1_K_219	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
J	250nM	FSTL_1_O_417	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
K	250nM	FSTL_1_T_770	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
L	750nM	FSTL_1_D_105	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
M	750nM	FSTL_1_F_109	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
N	750nM	FSTL_1_K_219	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
O	750nM	FSTL_1_O_417	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
P	750nM	FSTL_1_T_770	500	500	500	250	250	250	150	150	150	75	75	75	50	50	50	25	25	25							
																											
									given probe conc																		
																											
		Mix Roche:	"LightCycler® 480 Probes Master; 04707494001; Roche Diagnostics GmbH; Mannheim; Germany"																								
		DNA:	"Human Genomic DNA; 11691112001; Roche Diagnostics GmbH; Mannheim; Germany"																								
																											
		Approach: Make mastermix, aliquot and add primers, aliquot and add probe dilutions.																									
																											
					Primer Stock Solutions: 100 µM																						
					Primer dilution 1:10																						
																											
					Hum Gen DNA 1:10 dil  = 20ng/µl																						
					4ng per reaction = 1200 copies																						
																											
		ng/µl			20	7	2	0.7	0.2	0																	
		Hum Gen DNA 1:10 dil  = 20ng/µl			600	420	60	21	6	0																	
		Water			0	780	540	579	594	600																	
																											
		copies/µl			6000	2100	600	210	60																		
																											
				Primer 250mM			Replicates					Sum					Probe Dil										
																											
						1	4		7			7							Probe	Water							
																											
			4ng	1:10	DNA	0.20	0.8		5.6			39.2					500.00		0.500	0.500		35.0	35.0				
					Water	3.55	14.2		99.4			695.8					250.00		0.250	0.750		17.5	52.5				
				1:10!	Primer	0.25	1.0		7			49.0					150.00		0.150	0.850		10.5	59.5				
				1:10!	Probe	1.00	4.0		28			196.0					75.00		0.075	0.925		5.3	64.8				
					Puffer	5.00	20.0		140			980.0					50.00		0.050	0.950		3.5	66.5				
																	25.00		0.025	0.975		1.8	68.3				
					Sum	10.00	40.0		280			1960.0															
																											
					no Probe	9.00	36.0																				
					n Probe no Primer				245			1715.0															
																											
				Primer 100mM			Replicates					Sum				Primer 750mM			Replicates					Sum			
																											
						1	4		7			6						1	4		7			6			
																											
			4ng	1:10	DNA	0.20	0.8		5.6			33.6			4ng	1:10	DNA	0.20	0.8		5.6			33.6			
					Water	3.70	14.8		103.6			621.6					Water	3.05	12.2		85.4			512.4			
				1:10!	Primer	0.10	0.4		2.8			16.8				1:10!	Primer	0.75	3.0		21			126.0			
				1:10!	Probe	1.00	4.0		28			168.0				1:10!	Probe	1.00	4.0		28			168.0			
					Puffer	5.00	20.0		140			840.0					Puffer	5.00	20.0		140			840.0			
																											
					Sum	10.00	40.0		280			1680.0					Sum	10.00	40.0		280			1680.0			
																											
					no Probe	9.00	36.0										no Probe	9.00	36.0								
					n Probe no Primer				249.2								n Probe no Primer				231						
