Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A2	genomic DNA 20ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.3932	9	8	24	1.9617	0.9977	1.9442	0.0966	25.37	5664.5	7111.5	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A3	genomic DNA 20ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.4872	8	7	24	2.0292	0.9937	1.9442	0.0966	25.40	2347.3	6962.7	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A4	genomic DNA 20ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.6639	6	5	24	1.8898	0.9997	1.9442	0.0966	25.28	15452.9	7543.9	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A5	genomic DNA 7ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.4362	8	7	26	2.0991	0.9940	1.9442	0.0966	26.77	359.8	2800.7	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A6	genomic DNA 7ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.6822	10	9	26	1.9935	0.9920	1.9442	0.0966	26.78	1431.3	2797.7	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A7	genomic DNA 7ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.2994	9	8	26	1.9842	0.9886	1.9442	0.0966	26.75	1649.7	2844.6	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A8	genomic DNA 2ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.3381	8	7	28	1.9914	0.9955	1.9442	0.0966	28.63	409.4	814.5	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A9	genomic DNA 2ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.5004	7	6	28	1.8731	0.9964	1.9442	0.0966	28.74	2205.0	755.9	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A10	genomic DNA 2ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.2924	9	8	28	1.9936	0.9906	1.9442	0.0966	28.78	358.9	738.6	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A11	genomic DNA 0.7ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.2857	8	7	29	1.9924	0.9989	1.9442	0.0966	30.28	129.9	272.5	True	0	True	False	True
Probes - AMC	P4 - Probe Mixes - DNA Dilution	A12	genomic DNA 0.7ng	std	ds	FSTL_1_D_105 250nM 150nM	toi	Probe - Roche	hydrolysis probe			4.1783	9	8	29	2.0423	0.9988	1.9442	0.0966	30.29	61.0	270.7	True	0	True	False	True
