Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Quantification Methods	Run 1	A4	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			75922	8	7	25	2.1056	0.9993	2.0286	0.0334	26.13	213.4	565.3	True	0	True	False	True
Quantification Methods	Run 1	A5	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			66213	7	6	25	2.0369	0.9987	2.0286	0.0334	25.99	560.9	623.7	True	0	True	False	True
Quantification Methods	Run 1	A6	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			80339	9	8	25	2.0426	0.9989	2.0286	0.0334	26.01	515.7	617.4	True	0	True	False	True
Quantification Methods	Run 1	A7	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			56160	8	7	27	2.0013	0.9996	2.0286	0.0334	28.16	197.1	134.6	True	0	True	False	True
Quantification Methods	Run 1	A8	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			56943	9	8	27	2.0267	0.9995	2.0286	0.0334	28.07	147.5	143.7	True	0	True	False	True
Quantification Methods	Run 1	A9	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			54500	10	9	27	1.9982	0.9984	2.0286	0.0334	27.99	232.2	152.2	True	0	True	False	True
Quantification Methods	Run 1	A10	genomic DNA 0.7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			60104	10	9	29	2.0442	0.9908	2.0286	0.0334	29.70	36.0	45.2	True	0	True	False	True
Quantification Methods	Run 1	A11	genomic DNA 0.7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			50512	9	8	29	1.9873	0.9997	2.0286	0.0334	29.78	78.7	42.7	True	0	True	False	True
Quantification Methods	Run 1	A12	genomic DNA 0.7ng	std	ds	FSTL_1_A_047	toi	Eva Green add to probe mix	saturating DNA binding dye			46111	9	8	29	2.0143	0.9996	2.0286	0.0334	29.74	54.4	44.1	True	0	True	False	True
Quantification Methods	Run 1	B4	genomic DNA 7ng	std	ds	FSTL_1_B_042	toi	Eva Green add to probe mix	saturating DNA binding dye			71273	9	8	26	1.9596	0.9995	1.9791	0.0648	26.72	937.3	720.0	True	0	True	False	True
Quantification Methods	Run 1	B5	genomic DNA 7ng	std	ds	FSTL_1_B_042	toi	Eva Green add to probe mix	saturating DNA binding dye			65535	10	9	26	1.9820	0.9988	1.9791	0.0648	26.70	702.3	730.1	True	0	True	False	True
