Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
Add SYBR - AMC	P3 - DNA Dilution - Roche	A2	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			2.4626	6	5	23	1.8371	0.9997	1.9893	0.1860	24.13	32575.5	4773.0	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A3	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			2.5906	5	4	23	2.1333	0.9998	1.9893	0.1860	24.35	746.9	4094.6	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A4	genomic DNA 20ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			2.5508	5	4	23	1.7812	0.9976	1.9893	0.1860	24.15	67591.4	4686.1	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A5	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.8375	7	6	25	2.0191	0.9956	1.9893	0.1860	25.78	1046.5	1535.2	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A6	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.9020	5	4	25	1.8864	0.9996	1.9893	0.1860	25.72	6272.8	1598.7	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A7	genomic DNA 7ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.9850	6	5	25	2.2361	0.9797	1.9893	0.1860	25.54	91.0	1803.0	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A8	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.5383	6	5	26	1.9069	0.9999	1.9893	0.1860	27.46	1544.8	483.4	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A9	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.6595	7	6	27	1.9907	0.9984	1.9893	0.1860	27.69	404.5	412.4	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A10	genomic DNA 2ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.4633	7	6	27	2.0000	0.9918	1.9893	0.1860	27.67	360.2	417.6	True	0	True	False	True
Add SYBR - AMC	P3 - DNA Dilution - Roche	A11	genomic DNA 0.7ng	std	ds	FSTL_1_A_047	toi	SYBR - Roche	non-saturating DNA binding dye			1.4359	8	7	28	2.4360	0.9829	1.9893	0.1860	29.19	-1.0	146.3	True	0	True	False	True
