Experiment	Run	well	sample	sample type	sample nucleotide	target	target type	target dye	target chemistry	excluded	note	baseline	n in log phase	n included	last log cycle	indiv PCR eff	R2	PCR eff	STD PCR eff	TD0	indiv Ncopy	Ncopy	amplification	baseline error	plateau	excl PCR efficiency	used for mean PCR efficiency
AMC Amsterdam NL - 384 Wells	Run 1	A1	M1 gDNA 0.5ng/ul - 5ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.3667	7	6	24	1.8782	0.9963	1.9127	0.0680	24.8978	1066.1	677.9	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	A2	M1 gDNA 0.5ng/ul - 5ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.6166	6	5	24	1.9772	0.9991	1.9127	0.0680	24.8958	297.4	678.7	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	A3	M1 gDNA 0.5ng/ul - 5ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.5203	8	7	24	1.9041	0.9991	1.9127	0.0680	24.9463	735.0	656.9	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	A4	M1 gDNA 0.5ng/ul - 20ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.2870	6	5	24	1.9403	0.9995	1.9127	0.0680	25.3182	1436.8	2064.5	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	A5	M1 gDNA 0.5ng/ul - 20ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.3461	8	7	24	1.9651	0.9902	1.9127	0.0680	25.0639	1237.4	2434.6	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	A6	M1 gDNA 0.5ng/ul - 20ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.3171	10	9	24	1.8650	0.9920	1.9127	0.0680	25.0962	4494.1	2384.2	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B1	gDNA 0.2ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.3451	8	7	26	1.9858	0.9867	1.9127	0.0680	26.7364	150.9	411.5	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B2	M1 gDNA 0.5ng/ul STD	std	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.4741	8	7	24	1.9439	0.9976	1.9127	0.0680	24.8978	906.5	1355.7	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B3	gDNA 1ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.6920	8	7	23	1.9658	0.9966	1.9127	0.0680	24.3171	1015.4	1975.8	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B4	Neg. Contr.	unkn	ss	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.2529	9	8	31	1.8199	0.9986	1.9127	0.0680	31.6413	164.9	34.2	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B5	gDNA 2ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			2.2201	10	9	22	1.8702	0.9793	1.9127	0.0680	23.1374	7142.7	4246.3	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B6	gDNA 4ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			3.4756	9	8	21	2.0265	0.9959	1.9127	0.0680	21.9567	2566.0	9131.5	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	B7	gDNA 8ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			5.1253	7	6	20	1.8406	0.9987	1.9127	0.0680	20.8667	41291.5	18515.9	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	C1	gDNA 0.2ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.2989	10	9	26	1.9501	0.9909	1.9127	0.0680	26.5104	285.0	476.4	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	C2	M1 gDNA 0.5ng/ul STD	std	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.4824	8	7	24	1.8972	0.9987	1.9127	0.0680	24.9690	1585.6	1294.6	True	0	True	False	True
AMC Amsterdam NL - 384 Wells	Run 1	C3	gDNA 1ng/ul	unkn	ds	FSTL1	toi	SYBR	non-saturating DNA binding dye			1.7787	7	6	23	1.9429	0.9994	1.9127	0.0680	24.3737	1299.6	1904.6	True	0	True	False	True
