		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	1.219e+01	2.851e+01	2.278e+01	7.185e+00	7.687e+00	2.957e+01	1.164e+01	9.205e+00	2.359e+01	8.600e+00	9.903e+02	1.658e+01	1.556e+01	1.121e+01	4.281e+01	2.319e+01	8.807e+00	1.175e+01	2.618e+01	2.177e+01	1.024e+01	2.011e+01	1.875e+01	1.057e+01	2.275e+01	1.616e+01	1.274e+01	2.660e+01	2.639e+01	1.207e+01	2.373e+01	8.562e+00	6.701e+01	1.025e+01	5.384e+01	1.351e+01	2.436e+02	1.074e+01	1.170e+01	3.102e+01	4.061e+01	2.537e+01	6.343e+00	3.033e+01	1.065e+02	1.903e+01	4.561e+01	1.682e+01	1.973e+01	4.486e+01	1.051e+01	1.165e+01	1.232e+01	1.894e+01	3.311e+01	1.696e+01	1.972e+01	2.762e+01	2.633e+01	1.280e+01	2.909e+01	2.494e+01	2.348e+01
	15	2.050e+01	3.310e+01	1.157e+01	3.591e+01	1.327e+01	3.399e+01	6.357e+00	1.267e+01	1.479e+01	1.057e+01	1.055e+03	2.161e+01	1.476e+01	1.620e+01	5.102e+01	2.267e+01	1.178e+01	1.968e+01	2.239e+01	2.775e+01	1.699e+01	2.264e+01	1.223e+01	2.324e+01	2.585e+01	1.558e+01	2.183e+01	2.321e+01	1.369e+01	1.836e+01	1.616e+01	7.781e+00	7.819e+01	1.076e+01	2.286e+01	1.626e+01	1.596e+02	1.641e+01	9.246e+00	3.004e+01	2.333e+01	1.261e+01	6.346e+00	4.526e+01	9.326e+01	1.887e+01	3.103e+01	1.318e+01	9.607e+00	6.419e+01	1.735e+01	1.251e+01	1.538e+01	1.722e+01	1.536e+01	2.626e+01	2.451e+01	1.270e+01	1.406e+01	1.124e+01	3.064e+01	1.472e+01	2.347e+01
	15	2.809e+01	3.137e+01	1.842e+01	1.379e+01	1.229e+01	3.693e+01	1.766e+01	1.606e+01	2.765e+01	1.536e+01	4.503e+02	2.199e+01	1.391e+01	1.420e+01	4.279e+01	2.200e+01	2.003e+01	1.070e+01	2.540e+01	1.597e+01	1.214e+01	1.249e+01	1.627e+01	1.625e+01	1.993e+01	1.708e+01	2.713e+01	1.720e+01	2.571e+01	5.501e+00	2.285e+01	6.018e+00	6.900e+01	9.227e+00	1.568e+01	2.089e+01	2.439e+02	1.279e+01	1.753e+01	1.420e+01	2.000e+01	1.320e+01	4.998e+00	2.901e+01	6.445e+01	4.150e+00	4.954e+01	1.607e+01	9.911e+00	5.724e+01	1.300e+01	1.687e+01	1.632e+01	1.666e+01	3.041e+01	2.574e+01	1.677e+01	1.669e+01	1.499e+01	1.649e+01	2.603e+01	2.691e+01	2.103e+01
	150	1.283e+02	2.421e+02	1.481e+02	1.403e+02	5.757e+01	3.367e+02	1.265e+02	1.055e+02	2.985e+02	1.079e+02	5.004e+03	1.837e+02	1.091e+02	1.233e+02	4.412e+02	1.946e+02	1.342e+02	1.170e+02	2.199e+02	1.972e+02	1.161e+02	1.981e+02	1.588e+02	1.157e+02	1.887e+02	1.216e+02	1.605e+02	1.374e+02	1.757e+02	6.207e+01	1.654e+02	7.704e+01	4.105e+02	9.049e+01	1.402e+02	2.347e+02	1.530e+03	1.348e+02	9.941e+01	1.829e+02	2.493e+02	1.727e+02	3.361e+01	3.631e+02	6.087e+02	7.314e+01	2.704e+02	1.324e+02	1.462e+02	3.920e+02	1.346e+02	1.355e+02	1.489e+02	1.214e+02	2.048e+02	1.526e+02	1.871e+02	1.614e+02	1.575e+02	9.134e+01	3.815e+02	2.184e+02	1.681e+02
	150	1.700e+02	2.892e+02	1.390e+02	1.709e+02	1.104e+02	2.962e+02	1.057e+02	1.195e+02	2.709e+02	9.776e+01	4.710e+03	1.748e+02	1.180e+02	1.167e+02	4.177e+02	2.126e+02	1.177e+02	1.187e+02	1.795e+02	1.550e+02	1.025e+02	1.384e+02	1.483e+02	1.401e+02	1.746e+02	1.118e+02	1.559e+02	1.873e+02	1.563e+02	8.460e+01	1.878e+02	7.887e+01	3.797e+02	8.346e+01	1.293e+02	2.111e+02	1.587e+03	1.631e+02	7.107e+01	1.907e+02	2.276e+02	1.623e+02	3.690e+01	3.873e+02	5.797e+02	8.516e+01	2.782e+02	1.525e+02	1.331e+02	4.492e+02	1.391e+02	1.233e+02	1.149e+02	1.207e+02	2.046e+02	1.275e+02	1.660e+02	1.556e+02	1.438e+02	1.028e+02	3.389e+02	2.029e+02	1.700e+02
	150	1.412e+02	2.727e+02	1.244e+02	1.638e+02	9.899e+01	3.223e+02	1.090e+02	1.187e+02	2.306e+02	8.915e+01	4.687e+03	1.598e+02	1.109e+02	9.781e+01	3.875e+02	2.277e+02	1.060e+02	1.289e+02	2.057e+02	1.763e+02	1.082e+02	1.558e+02	1.583e+02	1.072e+02	2.010e+02	1.019e+02	1.679e+02	1.843e+02	1.478e+02	7.686e+01	1.490e+02	6.872e+01	3.852e+02	6.063e+01	1.296e+02	1.762e+02	1.385e+03	1.634e+02	8.636e+01	1.684e+02	2.178e+02	1.579e+02	4.071e+01	2.666e+02	5.938e+02	6.398e+01	2.401e+02	1.471e+02	1.266e+02	3.242e+02	1.542e+02	1.416e+02	1.161e+02	1.315e+02	2.052e+02	1.489e+02	1.675e+02	1.478e+02	1.719e+02	1.038e+02	3.264e+02	1.650e+02	1.655e+02
	1500	1.511e+03	2.504e+03	1.474e+03	1.543e+03	1.231e+03	2.861e+03	1.087e+03	1.083e+03	2.528e+03	9.845e+02	3.049e+04	1.737e+03	1.186e+03	1.234e+03	3.274e+03	2.100e+03	1.269e+03	1.300e+03	1.981e+03	1.531e+03	1.384e+03	1.590e+03	1.681e+03	1.250e+03	1.736e+03	1.325e+03	1.742e+03	1.601e+03	1.493e+03	1.104e+03	1.618e+03	8.348e+02	3.837e+03	7.480e+02	1.504e+03	1.910e+03	1.352e+04	1.516e+03	8.797e+02	1.883e+03	2.535e+03	1.608e+03	5.088e+02	3.080e+03	5.808e+03	8.888e+02	2.857e+03	1.563e+03	1.341e+03	3.451e+03	1.691e+03	1.374e+03	1.273e+03	1.149e+03	2.157e+03	1.570e+03	1.749e+03	1.536e+03	1.662e+03	1.238e+03	3.556e+03	2.001e+03	1.927e+03
	1500	1.419e+03	2.260e+03	1.395e+03	1.428e+03	8.268e+02	2.853e+03	1.076e+03	1.045e+03	2.299e+03	1.086e+03	2.991e+04	1.748e+03	1.166e+03	1.009e+03	3.373e+03	2.008e+03	1.266e+03	1.067e+03	1.871e+03	1.578e+03	1.282e+03	1.642e+03	1.341e+03	1.107e+03	1.709e+03	1.227e+03	1.398e+03	1.616e+03	1.521e+03	1.001e+03	1.575e+03	8.500e+02	3.310e+03	7.526e+02	1.458e+03	1.745e+03	1.159e+04	1.405e+03	9.578e+02	1.744e+03	2.311e+03	1.672e+03	4.637e+02	2.862e+03	5.278e+03	8.457e+02	2.629e+03	1.322e+03	1.372e+03	3.291e+03	1.693e+03	1.223e+03	1.298e+03	1.366e+03	1.965e+03	1.488e+03	1.907e+03	1.702e+03	1.566e+03	1.143e+03	2.965e+03	1.606e+03	1.731e+03
	1500	1.555e+03	2.002e+03	1.446e+03	1.526e+03	1.144e+03	3.093e+03	1.135e+03	9.814e+02	2.514e+03	1.260e+03	3.518e+04	1.744e+03	1.216e+03	1.074e+03	3.451e+03	1.825e+03	1.242e+03	1.118e+03	1.992e+03	1.453e+03	1.218e+03	1.571e+03	1.549e+03	1.183e+03	1.596e+03	1.397e+03	1.532e+03	1.577e+03	1.472e+03	8.917e+02	1.635e+03	8.565e+02	3.470e+03	7.485e+02	1.383e+03	1.594e+03	1.218e+04	1.549e+03	1.042e+03	1.859e+03	2.317e+03	1.891e+03	4.426e+02	3.169e+03	5.361e+03	7.416e+02	2.811e+03	1.480e+03	1.254e+03	3.546e+03	1.604e+03	1.436e+03	1.315e+03	1.242e+03	2.020e+03	1.563e+03	1.738e+03	1.367e+03	1.395e+03	9.969e+02	3.156e+03	1.709e+03	1.722e+03
	15000	1.283e+04	2.258e+04	1.178e+04	1.188e+04	1.078e+04	2.229e+04	9.066e+03	9.955e+03	2.089e+04	1.059e+04	1.993e+05	1.437e+04	1.003e+04	9.902e+03	2.668e+04	1.611e+04	1.183e+04	1.072e+04	1.529e+04	1.422e+04	1.096e+04	1.307e+04	1.256e+04	1.007e+04	1.558e+04	1.049e+04	1.478e+04	1.258e+04	1.366e+04	9.154e+03	1.488e+04	7.798e+03	2.699e+04	7.101e+03	1.188e+04	1.448e+04	8.423e+04	1.206e+04	8.575e+03	1.536e+04	1.943e+04	1.452e+04	4.457e+03	2.598e+04	4.235e+04	7.558e+03	2.683e+04	1.200e+04	1.079e+04	2.982e+04	1.347e+04	1.221e+04	1.185e+04	1.166e+04	1.779e+04	1.185e+04	1.596e+04	1.371e+04	1.485e+04	1.220e+04	2.723e+04	1.518e+04	1.432e+04
