		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	8.932e-11	1.740e-10	1.007e-22	1.862e-10	7.062e-11	1.863e-10	1.772e-10	1.312e-10	8.257e-11	2.802e-10	1.742e-10	2.567e-10	1.394e-10	1.392e-10	1.055e-10	1.514e-10	1.840e-10	1.252e-10	1.357e-10	1.620e-10	1.647e-10	1.247e-10	1.685e-10	2.116e-10	7.218e-11	1.741e-10	1.149e-10	1.207e-10	1.105e-10	1.728e-10	1.860e-10	1.812e-10	1.774e-10	1.324e-10	6.034e-11	1.925e-10	1.428e-10	2.433e-10	1.798e-10	1.266e-10	2.415e-10	3.331e-10	3.708e-10	9.549e-11	1.774e-10	3.039e-10	1.827e-10	2.938e-10	1.643e-10	2.273e-10	1.250e-10	1.821e-10	1.510e-10	1.249e-10	1.502e-10	2.584e-10	9.292e-11	1.949e-10	2.341e-10	2.765e-10	1.515e-10	3.420e-10	1.549e-10	2.033e-10
	15	2.084e-10	2.099e-10	1.615e-22	9.221e-11	3.466e-10	3.321e-10	1.957e-10	6.928e-11	1.216e-10	1.869e-10	2.156e-10	2.710e-10	1.957e-10	1.301e-10	1.476e-10	1.697e-10	1.827e-10	1.681e-10	2.362e-10	1.416e-10	2.008e-10	2.022e-10	1.953e-10	1.245e-10	1.663e-10	1.967e-10	1.103e-10	2.223e-10	1.002e-10	8.494e-11	2.832e-10	1.275e-10	1.685e-10	1.701e-10	6.157e-11	7.599e-11	1.641e-10	1.484e-10	2.911e-10	9.741e-11	2.171e-10	1.838e-10	1.802e-10	9.000e-11	2.671e-10	2.641e-10	1.803e-10	1.968e-10	1.248e-10	1.117e-10	1.890e-10	2.821e-10	1.666e-10	1.593e-10	1.349e-10	1.093e-10	1.463e-10	2.337e-10	1.075e-10	1.484e-10	1.361e-10	3.554e-10	8.816e-11	2.033e-10
	15	1.611e-10	1.930e-10	2.976e-22	1.500e-10	1.362e-10	2.985e-10	2.189e-10	2.153e-10	1.486e-10	3.278e-10	3.143e-10	1.005e-10	1.904e-10	1.216e-10	1.325e-10	1.566e-10	1.757e-10	2.888e-10	1.229e-10	1.567e-10	1.159e-10	1.472e-10	9.933e-11	1.707e-10	1.165e-10	1.583e-10	1.189e-10	2.689e-10	6.886e-11	1.681e-10	8.277e-11	1.777e-10	1.253e-10	1.371e-10	5.348e-11	4.642e-11	2.155e-10	2.448e-10	2.333e-10	1.989e-10	9.652e-11	1.541e-10	1.862e-10	7.837e-11	1.675e-10	1.805e-10	3.760e-11	3.204e-10	1.496e-10	1.171e-10	1.827e-10	2.230e-10	2.150e-10	1.636e-10	1.314e-10	2.193e-10	1.395e-10	1.614e-10	1.363e-10	1.504e-10	1.997e-10	3.206e-10	1.625e-10	1.816e-10
	150	1.032e-09	1.749e-09	2.244e-18	1.312e-09	1.411e-09	1.539e-09	2.251e-09	1.520e-09	1.038e-09	3.850e-09	2.188e-09	1.856e-09	1.737e-09	1.056e-09	1.164e-09	1.950e-09	1.602e-09	2.007e-09	1.419e-09	1.589e-09	1.574e-09	1.446e-09	1.801e-09	1.683e-09	8.945e-10	1.581e-09	9.639e-10	1.658e-09	6.503e-10	1.268e-09	9.943e-10	1.453e-09	1.594e-09	9.766e-10	5.782e-10	5.344e-10	2.578e-09	2.019e-09	2.404e-09	1.121e-09	1.424e-09	2.053e-09	2.537e-09	5.088e-10	2.455e-09	2.097e-09	8.033e-10	1.971e-09	1.504e-09	1.801e-09	1.440e-09	2.504e-09	1.814e-09	1.591e-09	1.058e-09	1.689e-09	9.979e-10	1.901e-09	1.464e-09	1.718e-09	1.155e-09	4.882e-09	1.477e-09	1.557e-09
	150	1.248e-09	2.043e-09	6.170e-22	1.286e-09	1.734e-09	2.831e-09	2.012e-09	1.179e-09	1.186e-09	3.378e-09	2.004e-09	1.758e-09	1.623e-09	1.152e-09	1.089e-09	1.811e-09	1.733e-09	1.803e-09	1.448e-09	1.264e-09	1.248e-09	1.309e-09	1.230e-09	1.628e-09	1.136e-09	1.478e-09	8.702e-10	1.636e-09	8.769e-10	1.089e-09	1.367e-09	1.623e-09	1.646e-09	8.921e-10	5.194e-10	4.808e-10	2.303e-09	2.111e-09	2.923e-09	8.184e-10	1.472e-09	1.880e-09	2.440e-09	5.804e-10	2.584e-09	1.948e-09	8.764e-10	2.038e-09	1.663e-09	1.650e-09	1.605e-09	2.621e-09	1.633e-09	1.246e-09	1.058e-09	1.667e-09	7.952e-10	1.730e-09	1.380e-09	1.573e-09	1.302e-09	4.320e-09	1.407e-09	1.578e-09
	150	1.401e-09	1.890e-09	4.160e-22	1.079e-09	1.637e-09	2.450e-09	2.149e-09	1.234e-09	1.171e-09	2.965e-09	1.813e-09	1.747e-09	1.496e-09	1.077e-09	9.332e-10	1.615e-09	1.827e-09	1.698e-09	1.536e-09	1.446e-09	1.406e-09	1.354e-09	1.415e-09	1.706e-09	8.184e-10	1.692e-09	7.697e-10	1.725e-09	8.588e-10	1.038e-09	1.308e-09	1.227e-09	1.419e-09	9.046e-10	3.945e-10	4.774e-10	2.003e-09	1.756e-09	2.904e-09	9.767e-10	1.289e-09	1.793e-09	2.317e-09	6.535e-10	1.727e-09	1.975e-09	6.570e-10	1.807e-09	1.576e-09	1.563e-09	1.099e-09	2.761e-09	1.886e-09	1.230e-09	1.170e-09	1.667e-09	9.708e-10	1.695e-09	1.344e-09	1.876e-09	1.285e-09	4.103e-09	1.145e-09	1.537e-09
	1500	1.339e-08	1.938e-08	3.495e-21	1.368e-08	1.696e-08	2.933e-08	2.153e-08	1.385e-08	1.288e-08	3.528e-08	2.060e-08	1.906e-08	1.876e-08	1.225e-08	1.294e-08	1.633e-08	1.937e-08	1.948e-08	1.704e-08	1.570e-08	1.494e-08	1.816e-08	1.585e-08	1.873e-08	1.064e-08	1.569e-08	1.169e-08	1.933e-08	8.939e-09	1.200e-08	1.796e-08	1.501e-08	1.715e-08	1.181e-08	5.885e-09	6.741e-09	2.228e-08	2.435e-08	2.713e-08	1.087e-08	1.632e-08	2.389e-08	2.515e-08	8.089e-09	2.360e-08	2.503e-08	9.973e-09	2.397e-08	1.764e-08	1.859e-08	1.439e-08	2.867e-08	1.949e-08	1.546e-08	1.184e-08	1.908e-08	1.102e-08	2.107e-08	1.657e-08	1.910e-08	1.642e-08	4.706e-08	1.593e-08	1.988e-08
	1500	1.385e-08	1.770e-08	7.514e-22	1.314e-08	1.570e-08	2.128e-08	2.153e-08	1.358e-08	1.181e-08	3.056e-08	2.221e-08	1.758e-08	1.928e-08	1.225e-08	1.003e-08	1.712e-08	1.826e-08	1.922e-08	1.362e-08	1.477e-08	1.555e-08	1.688e-08	1.639e-08	1.542e-08	9.668e-09	1.537e-08	1.084e-08	1.695e-08	9.001e-09	1.217e-08	1.632e-08	1.453e-08	1.726e-08	9.921e-09	5.768e-09	6.694e-09	2.017e-08	2.039e-08	2.559e-08	1.161e-08	1.527e-08	2.203e-08	2.581e-08	6.906e-09	2.077e-08	2.388e-08	9.020e-09	2.055e-08	1.462e-08	1.989e-08	1.354e-08	2.943e-08	1.898e-08	1.546e-08	1.363e-08	1.770e-08	1.035e-08	2.121e-08	1.747e-08	1.910e-08	1.494e-08	3.955e-08	1.252e-08	1.800e-08
	1500	1.251e-08	1.526e-08	3.306e-20	1.368e-08	1.663e-08	2.737e-08	2.330e-08	1.403e-08	1.068e-08	3.460e-08	2.550e-08	2.181e-08	1.902e-08	1.250e-08	1.162e-08	1.759e-08	1.732e-08	1.871e-08	1.534e-08	1.580e-08	1.399e-08	1.644e-08	1.533e-08	1.740e-08	1.021e-08	1.456e-08	1.209e-08	1.751e-08	8.755e-09	1.200e-08	1.474e-08	1.492e-08	1.783e-08	1.140e-08	5.806e-09	6.152e-09	1.888e-08	2.132e-08	2.785e-08	1.264e-08	1.643e-08	2.188e-08	2.920e-08	6.906e-09	2.360e-08	2.294e-08	7.995e-09	2.139e-08	1.606e-08	1.624e-08	1.520e-08	2.721e-08	2.067e-08	1.557e-08	1.266e-08	1.844e-08	1.102e-08	1.996e-08	1.501e-08	1.669e-08	1.309e-08	4.111e-08	1.427e-08	1.788e-08
	15000	1.246e-07	2.012e-07	2.193e-19	1.246e-07	1.476e-07	2.564e-07	1.877e-07	1.166e-07	1.144e-07	2.931e-07	2.104e-07	1.757e-07	1.577e-07	1.107e-07	1.092e-07	1.674e-07	1.611e-07	1.903e-07	1.462e-07	1.328e-07	1.373e-07	1.532e-07	1.376e-07	1.659e-07	9.496e-08	1.599e-07	1.008e-07	1.744e-07	7.820e-08	1.234e-07	1.510e-07	1.512e-07	1.655e-07	1.015e-07	5.715e-08	6.327e-08	1.965e-07	2.021e-07	2.255e-07	1.097e-07	1.473e-07	1.942e-07	2.291e-07	6.879e-08	2.115e-07	2.211e-07	9.099e-08	2.401e-07	1.431e-07	1.566e-07	1.529e-07	2.415e-07	1.732e-07	1.417e-07	1.197e-07	1.743e-07	9.624e-08	1.883e-07	1.479e-07	1.781e-07	1.620e-07	3.788e-07	1.323e-07	1.649e-07
