		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	7.625e-10	1.526e-09	3.786e-08	1.413e-09	2.873e-10	3.876e-10	1.547e-09	6.486e-10	5.865e-10	1.298e-09	5.208e-10	9.378e-10	9.152e-10	9.394e-10	5.923e-10	2.591e-09	1.528e-09	5.340e-10	7.102e-10	1.138e-09	1.467e-09	5.819e-10	1.104e-09	1.178e-09	6.795e-10	1.227e-09	9.688e-10	7.544e-10	1.375e-09	1.240e-09	7.080e-10	1.344e-09	4.216e-10	4.220e-09	6.140e-10	3.069e-09	7.524e-10	1.009e-09	6.100e-10	6.936e-10	2.000e-09	2.050e-09	1.467e-09	3.939e-10	4.082e-10	1.631e-09	1.176e-09	2.549e-09	8.328e-10	1.163e-09	2.438e-09	6.824e-10	6.803e-10	6.634e-10	1.257e-09	2.019e-09	1.168e-09	1.127e-09	1.329e-09	1.656e-09	6.296e-10	1.590e-09	1.423e-09	1.290e-09
	15	1.411e-09	1.945e-09	4.952e-08	7.714e-10	1.675e-09	6.778e-10	1.903e-09	2.945e-10	8.445e-10	9.370e-10	7.033e-10	1.118e-09	1.376e-09	8.277e-10	7.106e-10	2.852e-09	1.568e-09	8.056e-10	1.147e-09	1.043e-09	1.922e-09	9.344e-10	1.315e-09	7.915e-10	1.415e-09	1.498e-09	8.814e-10	1.329e-09	1.452e-09	6.364e-10	1.152e-09	9.361e-10	3.986e-10	5.409e-09	6.347e-10	1.340e-09	9.645e-10	6.393e-10	1.128e-09	5.512e-10	2.000e-09	1.498e-09	7.938e-10	4.207e-10	6.430e-10	1.431e-09	1.156e-09	1.785e-09	7.171e-10	6.543e-10	3.598e-09	9.584e-10	7.550e-10	8.698e-10	9.923e-10	1.009e-09	1.835e-09	1.371e-09	6.317e-10	8.099e-10	6.303e-10	1.825e-09	9.249e-10	1.408e-09
	15	1.668e-09	1.678e-09	5.812e-08	1.231e-09	6.008e-10	5.930e-10	1.969e-09	1.100e-09	1.026e-09	1.647e-09	9.625e-10	4.025e-10	1.312e-09	7.637e-10	8.542e-10	2.527e-09	1.483e-09	1.301e-09	6.402e-10	1.188e-09	1.123e-09	6.822e-10	8.041e-10	1.069e-09	1.139e-09	1.215e-09	1.032e-09	1.786e-09	1.029e-09	1.253e-09	3.451e-10	1.338e-09	3.164e-10	4.396e-09	5.289e-10	9.585e-10	1.232e-09	1.013e-09	7.380e-10	1.068e-09	8.517e-10	1.437e-09	8.142e-10	3.513e-10	3.532e-10	1.076e-09	2.363e-10	3.030e-09	8.467e-10	6.267e-10	3.170e-09	8.066e-10	9.467e-10	8.504e-10	1.070e-09	1.901e-09	1.686e-09	9.963e-10	7.414e-10	9.623e-10	9.112e-10	1.592e-09	1.642e-09	1.193e-09
	150	8.288e-09	1.293e-08	1.014e-06	9.574e-09	5.670e-09	3.114e-09	1.754e-08	7.189e-09	6.529e-09	1.622e-08	6.179e-09	6.767e-09	1.003e-08	6.186e-09	7.039e-09	2.249e-08	1.110e-08	7.832e-09	6.369e-09	1.027e-08	1.357e-08	5.831e-09	1.017e-08	9.588e-09	7.626e-09	1.058e-08	7.327e-09	8.524e-09	7.849e-09	8.877e-09	3.807e-09	9.200e-09	3.851e-09	2.498e-08	4.790e-09	8.505e-09	1.018e-08	8.093e-09	8.218e-09	6.127e-09	1.085e-08	1.518e-08	9.478e-09	2.131e-09	5.649e-09	9.508e-09	4.441e-09	1.486e-08	7.247e-09	8.362e-09	2.134e-08	7.765e-09	7.318e-09	7.564e-09	8.003e-09	1.301e-08	1.012e-08	9.440e-09	7.330e-09	8.945e-09	4.535e-09	2.139e-08	1.334e-08	9.842e-09
	150	1.028e-08	1.583e-08	7.148e-08	9.158e-09	7.170e-09	5.969e-09	1.682e-08	6.110e-09	7.780e-09	1.492e-08	5.785e-09	6.583e-09	9.319e-09	7.459e-09	7.366e-09	2.233e-08	1.344e-08	7.589e-09	6.657e-09	8.565e-09	1.023e-08	4.674e-09	7.798e-09	8.952e-09	7.893e-09	9.381e-09	6.601e-09	9.842e-09	1.014e-08	7.867e-09	5.382e-09	1.089e-08	4.231e-09	2.391e-08	4.707e-09	7.576e-09	9.969e-09	8.904e-09	9.785e-09	4.325e-09	1.152e-08	1.434e-08	9.350e-09	2.572e-09	6.668e-09	9.337e-09	4.456e-09	1.676e-08	7.978e-09	8.156e-09	2.575e-08	9.350e-09	6.667e-09	5.380e-09	8.404e-09	1.335e-08	9.123e-09	8.868e-09	6.909e-09	8.589e-09	5.108e-09	1.878e-08	1.293e-08	1.036e-08
	150	8.989e-09	1.421e-08	5.863e-08	7.750e-09	6.146e-09	5.159e-09	1.229e-08	6.048e-09	7.302e-09	1.219e-08	5.309e-09	6.543e-09	9.086e-09	6.402e-09	6.324e-09	2.080e-08	1.358e-08	6.998e-09	5.360e-09	8.840e-09	1.162e-08	5.406e-09	9.560e-09	9.459e-09	6.131e-09	8.960e-09	5.645e-09	1.033e-08	9.162e-09	7.176e-09	4.875e-09	8.481e-09	3.385e-09	2.385e-08	3.462e-09	7.302e-09	8.860e-09	6.929e-09	9.478e-09	5.429e-09	9.891e-09	1.321e-08	9.328e-09	2.714e-09	3.417e-09	8.116e-09	4.016e-09	1.463e-08	7.659e-09	7.546e-09	1.760e-08	9.257e-09	7.559e-09	6.001e-09	9.346e-09	1.115e-08	1.015e-08	9.090e-09	6.704e-09	1.046e-08	5.328e-09	1.770e-08	9.826e-09	8.301e-09
	1500	9.214e-08	1.318e-07	1.254e-07	8.375e-08	7.034e-08	5.957e-08	1.431e-07	5.910e-08	7.003e-08	1.395e-07	5.920e-08	6.920e-08	9.778e-08	6.609e-08	7.543e-08	1.754e-07	1.210e-07	7.605e-08	7.042e-08	9.064e-08	1.076e-07	6.876e-08	9.244e-08	9.393e-08	7.464e-08	9.385e-08	7.373e-08	9.538e-08	8.841e-08	7.448e-08	6.264e-08	8.659e-08	4.039e-08	2.277e-07	4.349e-08	8.663e-08	1.036e-07	9.743e-08	9.281e-08	5.497e-08	1.033e-07	1.392e-07	9.161e-08	3.226e-08	5.792e-08	1.150e-07	5.372e-08	1.621e-07	7.393e-08	7.802e-08	1.895e-07	9.655e-08	7.224e-08	6.354e-08	7.983e-08	1.221e-07	1.004e-07	9.887e-08	7.797e-08	8.150e-08	6.298e-08	1.823e-07	1.078e-07	1.098e-07
	1500	8.162e-08	1.178e-07	7.072e-08	7.550e-08	6.299e-08	4.182e-08	1.452e-07	5.733e-08	6.351e-08	1.293e-07	5.664e-08	6.064e-08	9.414e-08	6.467e-08	6.136e-08	1.808e-07	1.035e-07	6.961e-08	5.883e-08	7.287e-08	1.092e-07	5.884e-08	9.477e-08	7.781e-08	6.988e-08	8.591e-08	6.569e-08	8.621e-08	8.020e-08	7.319e-08	5.727e-08	8.422e-08	3.868e-08	1.968e-07	4.266e-08	8.004e-08	8.921e-08	7.501e-08	8.512e-08	5.359e-08	9.754e-08	1.277e-07	9.052e-08	2.724e-08	4.482e-08	1.065e-07	4.532e-08	1.455e-07	6.288e-08	7.136e-08	1.743e-07	8.218e-08	6.857e-08	6.408e-08	8.531e-08	1.080e-07	8.621e-08	9.477e-08	7.587e-08	8.987e-08	5.384e-08	1.597e-07	8.755e-08	9.473e-08
	1500	9.165e-08	1.019e-07	2.617e-07	8.370e-08	6.879e-08	5.702e-08	1.541e-07	5.686e-08	6.278e-08	1.371e-07	6.773e-08	5.628e-08	8.930e-08	6.819e-08	6.821e-08	1.895e-07	1.092e-07	7.465e-08	6.570e-08	8.915e-08	8.389e-08	6.303e-08	8.710e-08	8.489e-08	7.186e-08	9.159e-08	7.134e-08	7.859e-08	8.336e-08	7.418e-08	4.943e-08	8.502e-08	4.189e-08	2.232e-07	4.394e-08	7.859e-08	8.870e-08	7.968e-08	8.724e-08	5.661e-08	1.052e-07	1.280e-07	8.007e-08	2.775e-08	5.567e-08	9.520e-08	4.019e-08	1.508e-07	7.163e-08	7.674e-08	1.979e-07	8.975e-08	7.405e-08	6.473e-08	8.569e-08	1.191e-07	9.757e-08	9.499e-08	7.157e-08	8.613e-08	4.724e-08	1.780e-07	1.050e-07	9.690e-08
	15000	6.828e-07	1.023e-06	4.377e-07	6.435e-07	5.324e-07	4.726e-07	1.109e-06	4.614e-07	5.105e-07	9.478e-07	5.486e-07	5.591e-07	6.847e-07	5.044e-07	4.803e-07	1.339e-06	8.494e-07	4.784e-07	5.172e-07	6.048e-07	7.885e-07	5.183e-07	6.536e-07	6.561e-07	5.508e-07	7.776e-07	5.210e-07	7.561e-07	6.052e-07	5.706e-07	4.013e-07	7.129e-07	3.466e-07	1.642e-06	3.453e-07	5.973e-07	7.559e-07	6.505e-07	6.906e-07	4.537e-07	7.941e-07	9.625e-07	7.352e-07	2.216e-07	4.481e-07	8.361e-07	3.761e-07	1.106e-06	5.494e-07	5.914e-07	1.368e-06	7.102e-07	5.370e-07	5.050e-07	6.871e-07	9.355e-07	7.272e-07	7.465e-07	5.910e-07	6.809e-07	5.104e-07	1.269e-06	7.501e-07	7.759e-07
