		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	5.924e-09	5.410e-09	2.475e-12	7.622e-09	5.994e-09	3.492e-09	3.708e-09	3.520e-09	2.361e-09	1.682e-08	6.030e-10	2.449e-08	3.868e-09	6.252e-09	2.360e-08	1.523e-08	1.669e-08	4.293e-09	1.544e-09	3.449e-10	1.178e-08	2.424e-09	1.028e-08	1.065e-08	3.964e-10	2.307e-09	2.547e-09	7.164e-09	6.147e-09	3.759e-10	1.551e-09	1.184e-08	1.052e-09	1.531e-08	1.178e-09	7.153e-08	1.216e-08	9.850e-09	5.053e-09	6.303e-09	1.872e-08	1.114e-08	1.166e-08	5.942e-09	3.075e-09	1.345e-08	2.044e-09	2.535e-08	3.811e-09	5.833e-09	4.162e-09	7.739e-09	8.356e-10	7.287e-11	5.134e-09	9.736e-09	1.142e-08	8.214e-09	7.071e-09	1.228e-08	1.261e-10	7.043e-09	1.577e-08	1.464e-08
	15	1.008e-08	7.865e-09	2.730e-12	5.045e-09	1.955e-08	7.026e-09	4.289e-09	1.119e-09	3.111e-09	1.367e-08	6.596e-10	2.225e-08	1.104e-08	4.701e-09	3.219e-08	1.615e-08	1.855e-08	9.854e-09	1.876e-09	1.772e-10	1.769e-08	2.358e-09	9.579e-09	3.640e-09	9.552e-10	2.684e-09	2.627e-09	1.630e-08	9.967e-09	2.560e-10	3.447e-09	8.749e-09	9.591e-10	2.144e-08	1.019e-09	2.175e-08	1.941e-08	6.080e-09	1.662e-08	2.025e-09	1.349e-08	1.490e-08	7.977e-09	3.052e-09	4.020e-09	1.021e-08	1.891e-09	2.141e-08	3.597e-09	4.409e-09	7.926e-09	8.457e-09	1.261e-09	6.467e-11	3.468e-09	5.094e-09	1.254e-08	1.093e-08	5.108e-09	7.936e-09	9.813e-11	7.835e-09	1.290e-08	1.444e-08
	15	1.163e-08	5.604e-09	8.012e-12	7.975e-09	1.002e-08	4.631e-09	3.610e-09	3.995e-09	4.191e-09	2.130e-08	1.204e-09	1.056e-08	8.569e-09	4.513e-09	4.826e-08	1.670e-08	1.826e-08	1.013e-08	1.033e-09	3.293e-10	1.242e-08	2.107e-09	6.456e-09	7.871e-09	1.236e-09	2.788e-09	3.017e-09	1.640e-08	7.836e-09	4.729e-10	6.931e-10	1.221e-08	8.846e-10	2.155e-08	1.034e-09	1.326e-08	2.112e-08	1.023e-08	8.469e-09	1.266e-08	5.196e-09	1.339e-08	6.993e-09	2.762e-09	2.646e-09	8.622e-09	3.770e-10	3.232e-08	3.839e-09	4.556e-09	1.056e-08	8.720e-09	9.129e-10	9.003e-11	4.248e-09	9.099e-09	1.191e-08	6.941e-09	4.249e-09	9.378e-09	1.169e-10	7.333e-09	1.892e-08	1.584e-08
	150	5.525e-08	3.139e-08	5.453e-09	6.026e-08	7.187e-08	3.015e-08	3.124e-08	3.226e-08	2.482e-08	1.739e-07	6.630e-09	1.062e-07	4.642e-08	3.350e-08	1.591e-07	9.142e-08	9.042e-08	4.503e-08	1.057e-08	3.479e-09	1.038e-07	1.357e-08	6.368e-08	5.635e-08	8.283e-09	2.099e-08	2.189e-08	6.941e-08	3.558e-08	3.459e-09	7.192e-09	7.104e-08	8.533e-09	9.990e-08	8.354e-09	9.060e-08	1.531e-07	7.028e-08	1.047e-07	2.387e-08	8.465e-08	1.298e-07	7.679e-08	2.701e-08	3.938e-08	5.734e-08	7.029e-09	1.019e-07	3.017e-08	5.933e-08	5.815e-08	4.998e-08	7.051e-09	6.728e-10	4.511e-08	7.386e-08	7.026e-08	5.978e-08	4.145e-08	6.465e-08	1.009e-09	7.419e-08	1.107e-07	1.133e-07
	150	6.947e-08	3.096e-08	4.142e-12	5.258e-08	9.172e-08	4.753e-08	3.632e-08	1.936e-08	2.827e-08	1.421e-07	7.490e-09	1.206e-07	4.495e-08	4.631e-08	1.685e-07	1.454e-07	1.083e-07	4.252e-08	1.215e-08	2.662e-09	8.437e-08	1.234e-08	4.917e-08	5.944e-08	2.023e-08	1.656e-08	1.939e-08	8.016e-08	5.186e-08	3.085e-09	1.209e-08	8.346e-08	1.067e-08	9.961e-08	8.760e-09	8.495e-08	1.386e-07	7.486e-08	9.887e-08	1.697e-08	6.969e-08	1.241e-07	7.499e-08	2.382e-08	4.128e-08	5.813e-08	6.242e-09	1.324e-07	3.414e-08	6.013e-08	6.398e-08	7.641e-08	6.558e-09	3.404e-10	4.524e-08	5.869e-08	6.439e-08	6.210e-08	4.404e-08	6.870e-08	9.503e-10	5.520e-08	1.313e-07	1.069e-07
	150	6.297e-08	2.928e-08	1.814e-12	4.816e-08	5.084e-08	4.025e-08	2.695e-08	2.225e-08	2.650e-08	1.054e-07	6.676e-09	1.190e-07	5.092e-08	3.674e-08	1.706e-07	1.187e-07	9.507e-08	4.067e-08	6.140e-09	3.208e-09	9.988e-08	1.292e-08	6.963e-08	5.628e-08	4.766e-09	1.072e-08	1.736e-08	8.308e-08	3.863e-08	3.306e-09	1.247e-08	6.432e-08	7.218e-09	9.302e-08	6.857e-09	8.560e-08	1.331e-07	5.093e-08	1.221e-07	2.408e-08	7.261e-08	1.231e-07	7.538e-08	3.188e-08	2.118e-08	5.445e-08	5.535e-09	9.922e-08	3.870e-08	4.878e-08	4.898e-08	6.657e-08	7.095e-09	4.801e-10	5.271e-08	4.829e-08	7.165e-08	6.240e-08	4.367e-08	8.480e-08	6.787e-10	6.573e-08	8.927e-08	7.742e-08
	1500	5.473e-07	1.866e-07	4.173e-12	3.770e-07	7.056e-07	3.470e-07	2.430e-07	1.318e-07	2.192e-07	1.060e-06	6.403e-08	9.581e-07	3.824e-07	2.901e-07	8.345e-07	9.344e-07	9.643e-07	4.196e-07	1.084e-07	2.914e-08	7.086e-07	1.538e-07	5.450e-07	7.071e-07	5.561e-08	1.629e-07	1.884e-07	6.624e-07	3.332e-07	2.453e-08	8.040e-08	5.510e-07	9.000e-08	8.001e-07	7.422e-08	7.094e-07	1.344e-06	6.200e-07	8.844e-07	1.554e-07	5.074e-07	9.127e-07	5.912e-07	2.694e-07	2.714e-07	6.700e-07	6.343e-08	1.084e-06	2.789e-07	3.621e-07	3.773e-07	5.884e-07	7.488e-08	3.353e-09	2.783e-07	4.855e-07	7.258e-07	6.148e-07	4.138e-07	2.095e-07	6.905e-09	6.113e-07	7.628e-07	8.268e-07
	1500	4.650e-07	2.435e-07	9.045e-12	4.446e-07	7.439e-07	3.109e-07	3.111e-07	1.485e-07	1.809e-07	1.047e-06	6.812e-08	7.872e-07	3.547e-07	3.034e-07	7.614e-07	1.096e-06	8.335e-07	3.457e-07	7.285e-08	1.965e-08	6.448e-07	1.335e-07	5.392e-07	6.536e-07	6.595e-08	1.617e-07	1.560e-07	5.739e-07	3.332e-07	2.610e-08	6.615e-08	5.061e-07	8.781e-08	6.771e-07	8.588e-08	6.812e-07	1.064e-06	5.526e-07	8.948e-07	1.707e-07	5.450e-07	1.000e-06	5.502e-07	2.479e-07	2.116e-07	6.247e-07	6.349e-08	8.680e-07	2.435e-07	6.330e-07	4.468e-07	4.205e-07	6.185e-08	5.708e-09	3.635e-07	3.736e-07	5.825e-07	4.894e-07	3.415e-07	5.712e-07	8.181e-09	5.122e-07	7.432e-07	7.038e-07
	1500	5.245e-07	2.231e-07	3.307e-11	3.214e-07	7.754e-07	4.216e-07	3.189e-07	1.498e-07	2.086e-07	1.047e-06	8.312e-08	9.041e-07	3.860e-07	3.499e-07	8.978e-07	9.658e-07	9.877e-07	4.309e-07	7.062e-08	2.523e-08	5.635e-07	1.314e-07	4.834e-07	5.279e-07	5.641e-08	1.731e-07	1.678e-07	5.130e-07	3.263e-07	2.912e-08	7.663e-08	5.569e-07	9.189e-08	7.735e-07	6.673e-08	6.371e-07	1.338e-06	5.578e-07	8.316e-07	1.732e-07	6.021e-07	9.554e-07	5.483e-07	2.176e-07	2.623e-07	6.296e-07	5.759e-08	9.695e-07	2.836e-07	4.336e-07	4.397e-07	5.177e-07	5.781e-08	4.044e-09	3.838e-07	4.656e-07	5.906e-07	5.636e-07	3.922e-07	5.681e-07	9.400e-09	5.139e-07	8.910e-07	7.508e-07
	15000	3.071e-06	1.323e-06	8.824e-10	3.123e-06	4.191e-06	2.548e-06	2.106e-06	9.177e-07	1.652e-06	8.403e-06	6.409e-07	6.198e-06	2.891e-06	2.475e-06	7.343e-06	6.170e-06	5.483e-06	2.732e-06	6.789e-07	2.266e-07	4.553e-06	1.261e-06	3.096e-06	3.239e-06	3.566e-07	1.665e-06	1.179e-06	4.004e-06	2.663e-06	1.925e-07	9.023e-07	4.188e-06	6.435e-07	8.441e-07	5.897e-07	4.096e-06	8.018e-06	4.234e-06	5.498e-06	1.282e-06	4.053e-06	5.823e-06	4.008e-06	1.971e-06	1.858e-06	3.982e-06	5.178e-07	1.316e-05	1.886e-06	2.731e-06	2.836e-06	4.107e-06	4.058e-07	3.851e-08	3.327e-06	3.877e-06	4.271e-06	3.875e-06	2.877e-06	2.870e-06	1.208e-07	3.490e-06	4.764e-06	4.433e-06
