			AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
		15	8.163e+00	4.960e+00	1.548e+01	1.415e+00	2.280e+00	8.361e+00	4.137e+00	5.662e+00	2.468e+00	1.166e+01	2.093e+01	1.118e+01	1.121e+01	5.289e+00	1.294e+01	8.541e+00	8.417e+00	6.429e+00	1.097e+01	8.849e+00	6.549e+00	1.071e+01	1.541e+01	8.432e+00	1.780e+01	1.128e+01	4.849e+00	1.706e+01	1.981e+01	3.648e+00	6.691e+00	4.908e+00	2.302e+01	4.274e+00	3.835e+01	7.583e+00	4.344e+00	6.495e+00	4.888e+00	1.357e+01	2.391e+01	1.277e+01	4.128e+00	3.633e+00	1.806e+01	1.310e+01	1.862e+01	1.055e+01	1.992e+01	1.018e+01	7.486e+00	5.751e+00	5.415e+00	1.158e+01	3.016e+01	1.196e+01	1.632e+01	1.187e+01	2.601e+01	2.004e+00	8.994e+00	1.925e+01	1.018e+01
		15	1.590e+01	6.436e+00	7.946e+00	1.006e+01	4.545e+00	9.891e+00	1.818e+00	8.658e+00	3.474e+00	8.334e+00	2.528e+01	1.790e+01	9.873e+00	6.639e+00	1.463e+01	8.735e+00	1.182e+01	1.106e+01	1.225e+01	1.179e+01	1.088e+01	1.283e+01	9.538e+00	1.936e+01	2.030e+01	1.035e+01	9.207e+00	1.733e+01	9.620e+00	6.429e+00	4.453e+00	4.395e+00	3.033e+01	4.504e+00	1.581e+01	9.430e+00	2.518e+00	1.237e+01	3.962e+00	1.340e+01	1.614e+01	6.273e+00	4.306e+00	5.550e+00	1.671e+01	1.301e+01	1.227e+01	8.984e+00	1.050e+01	1.668e+01	1.149e+01	6.614e+00	7.638e+00	9.699e+00	1.390e+01	2.003e+01	1.974e+01	5.266e+00	1.182e+01	1.974e+00	9.701e+00	1.136e+01	1.136e+01
		15	1.873e+01	5.552e+00	1.315e+01	3.249e+00	3.861e+00	1.050e+01	7.285e+00	1.006e+01	4.950e+00	1.568e+01	8.441e+00	1.708e+01	9.451e+00	7.924e+00	1.292e+01	8.115e+00	2.041e+01	5.751e+00	1.140e+01	6.207e+00	8.039e+00	7.295e+00	1.347e+01	1.400e+01	1.695e+01	1.183e+01	1.266e+01	1.147e+01	1.984e+01	1.662e+00	6.741e+00	3.297e+00	2.423e+01	3.571e+00	1.060e+01	1.232e+01	4.414e+00	8.231e+00	8.185e+00	5.249e+00	1.507e+01	6.509e+00	3.503e+00	2.913e+00	1.165e+01	2.474e+00	2.221e+01	1.039e+01	1.018e+01	1.426e+01	9.352e+00	8.780e+00	7.390e+00	9.501e+00	2.700e+01	1.853e+01	1.408e+01	6.854e+00	1.427e+01	2.879e+00	8.509e+00	2.103e+01	9.344e+00
		150	1.215e+02	6.670e+01	9.865e+01	4.789e+01	4.116e+01	9.130e+01	4.742e+01	8.843e+01	3.540e+01	1.419e+02	1.613e+02	1.410e+02	8.992e+01	6.922e+01	1.436e+02	9.766e+01	1.305e+02	6.909e+01	1.039e+02	8.744e+01	7.500e+01	1.098e+02	1.400e+02	9.097e+01	1.631e+02	7.650e+01	8.814e+01	1.343e+02	1.381e+02	3.297e+01	5.336e+01	4.292e+01	1.639e+02	2.882e+01	9.717e+01	1.095e+02	3.892e+01	1.320e+02	4.688e+01	8.053e+01	1.733e+02	9.463e+01	3.270e+01	3.903e+01	1.143e+02	4.916e+01	1.313e+02	1.195e+02	1.517e+02	9.932e+01	1.288e+02	8.297e+01	6.466e+01	1.019e+02	1.877e+02	1.346e+02	1.498e+02	7.339e+01	1.840e+02	2.186e+01	1.309e+02	1.497e+02	8.141e+01
		150	1.079e+02	5.782e+01	1.240e+02	4.217e+01	2.300e+01	1.303e+02	5.838e+01	7.742e+01	4.005e+01	1.913e+02	1.681e+02	1.515e+02	8.592e+01	7.892e+01	1.608e+02	7.891e+01	1.497e+02	7.977e+01	1.257e+02	1.018e+02	8.174e+01	1.231e+02	1.458e+02	1.130e+02	1.694e+02	1.017e+02	7.486e+01	1.080e+02	1.583e+02	2.443e+01	5.824e+01	5.198e+01	1.697e+02	4.036e+01	1.155e+02	1.385e+02	4.531e+01	1.086e+02	5.430e+01	8.839e+01	1.975e+02	9.587e+01	2.512e+01	6.342e+01	1.330e+02	5.613e+01	1.373e+02	1.089e+02	1.591e+02	1.255e+02	1.085e+02	7.753e+01	7.914e+01	8.709e+01	2.109e+02	1.343e+02	1.601e+02	7.588e+01	1.584e+02	1.776e+01	1.584e+02	2.043e+02	9.576e+01
		150	1.423e+02	7.249e+01	1.188e+02	5.357e+01	4.886e+01	1.209e+02	4.967e+01	9.389e+01	3.747e+01	1.718e+02	1.616e+02	1.508e+02	1.087e+02	8.125e+01	1.486e+02	9.521e+01	1.431e+02	7.376e+01	9.839e+01	7.514e+01	6.913e+01	9.135e+01	1.317e+02	1.227e+02	1.593e+02	8.970e+01	8.417e+01	1.469e+02	1.560e+02	3.531e+01	7.193e+01	5.591e+01	1.626e+02	3.947e+01	1.014e+02	1.310e+02	4.994e+01	1.351e+02	3.680e+01	9.424e+01	1.865e+02	9.762e+01	2.993e+01	7.299e+01	1.312e+02	5.810e+01	1.494e+02	1.247e+02	1.586e+02	1.485e+02	1.281e+02	7.582e+01	5.681e+01	9.305e+01	2.191e+02	1.163e+02	1.479e+02	7.776e+01	1.491e+02	2.111e+01	1.428e+02	1.944e+02	9.860e+01
		1500	1.492e+03	8.566e+02	1.336e+03	6.867e+02	6.452e+02	1.307e+03	6.087e+02	1.101e+03	5.295e+02	2.045e+03	1.953e+03	1.842e+03	1.169e+03	1.067e+03	1.581e+03	1.182e+03	1.680e+03	1.055e+03	1.336e+03	1.064e+03	1.163e+03	1.365e+03	1.680e+03	1.320e+03	1.858e+03	1.259e+03	1.092e+03	1.487e+03	1.665e+03	5.701e+02	7.204e+02	6.647e+02	2.113e+03	4.979e+02	1.472e+03	1.642e+03	7.545e+02	1.543e+03	6.189e+02	1.122e+03	2.387e+03	1.196e+03	4.902e+02	8.203e+02	1.923e+03	8.296e+02	1.904e+03	1.358e+03	1.858e+03	1.474e+03	1.658e+03	1.008e+03	8.654e+02	1.120e+03	2.415e+03	1.610e+03	2.038e+03	1.088e+03	1.886e+03	3.820e+02	1.837e+03	2.023e+03	1.361e+03
		1500	1.339e+03	7.396e+02	1.196e+03	5.904e+02	4.291e+02	1.326e+03	5.912e+02	9.771e+02	5.168e+02	1.883e+03	1.742e+03	1.771e+03	1.128e+03	8.418e+02	1.593e+03	9.866e+02	1.504e+03	8.433e+02	1.206e+03	1.101e+03	1.071e+03	1.393e+03	1.355e+03	1.210e+03	1.699e+03	1.189e+03	9.643e+02	1.367e+03	1.621e+03	5.223e+02	6.877e+02	6.430e+02	1.792e+03	4.726e+02	1.358e+03	1.377e+03	5.691e+02	1.432e+03	6.094e+02	1.056e+03	2.158e+03	1.193e+03	3.989e+02	6.080e+02	1.789e+03	7.056e+02	1.664e+03	1.213e+03	1.710e+03	1.344e+03	1.450e+03	9.468e+02	8.461e+02	1.178e+03	2.311e+03	1.397e+03	1.998e+03	1.091e+03	1.915e+03	3.187e+02	1.555e+03	1.575e+03	1.150e+03
		1500	1.490e+03	6.113e+02	1.310e+03	6.504e+02	5.932e+02	1.455e+03	6.061e+02	9.384e+02	5.971e+02	2.014e+03	1.690e+03	1.685e+03	1.168e+03	9.456e+02	1.685e+03	1.033e+03	1.620e+03	9.567e+02	1.285e+03	8.048e+02	1.132e+03	1.313e+03	1.493e+03	1.227e+03	1.752e+03	1.235e+03	8.645e+02	1.423e+03	1.612e+03	4.358e+02	7.246e+02	6.675e+02	2.071e+03	4.851e+02	1.332e+03	1.362e+03	6.150e+02	1.453e+03	6.537e+02	1.140e+03	2.164e+03	1.133e+03	4.093e+02	7.854e+02	1.599e+03	6.037e+02	1.720e+03	1.324e+03	1.744e+03	1.545e+03	1.529e+03	1.041e+03	8.666e+02	1.146e+03	2.353e+03	1.551e+03	1.964e+03	9.744e+02	1.816e+03	2.844e+02	1.708e+03	1.878e+03	1.193e+03
		15000	1.371e+04	8.925e+03	1.211e+04	6.559e+03	6.439e+03	1.358e+04	5.974e+03	9.360e+03	6.395e+03	1.746e+04	1.848e+04	1.558e+04	1.045e+04	8.164e+03	1.620e+04	1.029e+04	1.293e+04	1.021e+04	1.138e+04	1.002e+04	1.081e+04	1.189e+04	1.408e+04	1.206e+04	1.867e+04	1.099e+04	1.091e+04	1.236e+04	1.556e+04	4.707e+03	7.965e+03	6.792e+03	1.978e+04	4.628e+03	1.219e+04	1.433e+04	6.721e+03	1.360e+04	6.615e+03	1.088e+04	1.904e+04	1.224e+04	4.101e+03	7.970e+03	1.751e+04	7.448e+03	1.743e+04	1.203e+04	1.629e+04	1.415e+04	1.461e+04	9.923e+03	8.825e+03	1.170e+04	2.260e+04	1.416e+04	1.869e+04	1.026e+04	1.779e+04	4.586e+03	1.686e+04	1.699e+04	1.184e+04
