			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15	1.050e-09	3.038e-09	4.268e-08	1.937e-09	2.603e-09	5.639e-10	1.111e-09	4.507e-09	7.020e-10	2.188e-09	9.551e-10	2.194e-09	1.404e-09	3.368e-09	4.891e-09	2.551e-09	1.414e-09	1.102e-09	1.704e-09	1.906e-09	1.454e-09	6.903e-10	1.468e-09	3.361e-09	9.776e-10	2.009e-09	2.660e-09	8.563e-10	2.352e-09	1.553e-09	2.307e-09	3.008e-09	7.261e-10	2.341e-09	5.638e-10	3.879e-09	1.327e-09	1.606e-09	1.178e-09	1.233e-09	4.849e-09	2.526e-09	2.751e-09	1.601e-09	4.726e-10	3.317e-09	2.348e-09	4.823e-09	1.346e-09	1.626e-09	1.555e-09	1.121e-09	6.902e-10	1.326e-09	3.260e-09	3.144e-09	1.810e-09	1.516e-09	1.024e-09	2.574e-09	1.402e-09	2.773e-09	1.768e-09	3.572e-09
		15	1.711e-09	2.698e-09	7.165e-08	2.162e-09	1.622e-09	1.227e-09	1.666e-09	1.814e-09	6.508e-10	1.003e-09	6.113e-10	3.384e-09	1.108e-09	2.547e-09	4.029e-09	1.911e-09	1.472e-09	1.106e-09	2.348e-09	7.800e-10	2.436e-09	1.473e-09	2.612e-09	1.990e-09	1.290e-09	1.351e-09	1.019e-09	1.501e-09	1.337e-09	8.489e-10	2.394e-09	1.423e-09	8.132e-10	2.882e-09	8.494e-10	3.107e-09	9.655e-10	7.767e-10	1.809e-09	9.651e-10	2.342e-09	1.188e-09	1.102e-09	2.121e-09	9.816e-10	2.399e-09	1.686e-09	2.717e-09	1.007e-09	8.488e-10	2.663e-09	1.162e-09	1.143e-09	1.853e-09	2.462e-09	1.518e-09	3.172e-09	1.955e-09	1.073e-09	1.133e-09	5.760e-10	2.222e-09	1.521e-09	4.314e-09
		15	2.080e-09	2.800e-09	9.779e-08	2.381e-09	1.981e-09	1.446e-09	7.815e-10	3.911e-09	1.195e-09	2.090e-09	2.209e-09	2.103e-09	1.665e-09	1.716e-09	2.219e-09	1.843e-09	1.255e-09	3.189e-09	4.009e-10	8.141e-10	1.290e-09	1.066e-09	9.011e-10	2.456e-09	1.026e-09	2.143e-09	2.079e-09	1.557e-09	8.832e-10	1.626e-09	8.878e-10	1.834e-09	4.947e-10	2.250e-09	8.266e-10	2.137e-09	1.847e-09	1.329e-09	1.503e-09	1.833e-09	1.240e-09	1.198e-09	1.107e-09	1.322e-09	9.096e-10	1.489e-09	2.235e-10	4.833e-09	9.962e-10	9.694e-10	2.861e-09	2.003e-09	9.717e-10	1.398e-09	2.193e-09	3.200e-09	2.676e-09	1.522e-09	1.605e-09	2.151e-09	1.230e-09	1.193e-09	1.927e-09	1.957e-09
		150	8.542e-09	2.376e-08	1.443e-06	1.240e-08	8.766e-09	6.665e-09	1.013e-08	2.419e-08	9.631e-09	2.030e-08	6.729e-09	2.058e-08	1.276e-08	1.513e-08	2.540e-08	1.472e-08	2.454e-08	1.516e-08	1.125e-08	6.912e-09	1.634e-08	9.269e-09	1.256e-08	1.640e-08	1.098e-08	1.153e-08	1.335e-08	1.520e-08	8.326e-09	1.247e-08	4.843e-09	1.635e-08	6.853e-09	1.789e-08	5.805e-09	1.570e-08	1.299e-08	2.013e-08	1.039e-08	6.951e-09	1.229e-08	1.260e-08	1.435e-08	1.146e-08	1.040e-08	1.086e-08	6.916e-09	2.715e-08	1.092e-08	1.435e-08	2.331e-08	1.717e-08	1.061e-08	1.492e-08	9.567e-09	1.275e-08	1.012e-08	1.082e-08	1.414e-08	1.142e-08	6.008e-09	2.320e-08	1.896e-08	2.928e-08
		150	1.274e-08	1.640e-08	1.317e-07	1.115e-08	1.518e-08	1.110e-08	1.011e-08	1.497e-08	1.305e-08	3.067e-08	9.803e-09	1.399e-08	1.366e-08	1.613e-08	1.439e-08	1.575e-08	1.485e-08	1.279e-08	1.012e-08	8.004e-09	1.232e-08	1.216e-08	1.592e-08	1.974e-08	6.441e-09	1.200e-08	1.160e-08	1.297e-08	1.291e-08	1.181e-08	7.590e-09	2.021e-08	5.212e-09	2.234e-08	6.167e-09	1.549e-08	1.657e-08	1.819e-08	1.571e-08	5.555e-09	1.377e-08	2.288e-08	1.666e-08	7.474e-09	1.485e-08	1.270e-08	7.401e-09	2.443e-08	7.274e-09	1.101e-08	1.687e-08	2.109e-08	1.187e-08	9.195e-09	1.100e-08	1.595e-08	1.492e-08	8.453e-09	1.635e-08	1.134e-08	7.498e-09	1.338e-08	1.738e-08	2.816e-08
		150	1.094e-08	1.664e-08	1.026e-07	1.031e-08	3.018e-08	9.052e-09	7.270e-09	1.860e-08	9.338e-09	2.148e-08	8.394e-09	1.589e-08	1.059e-08	1.324e-08	1.196e-08	1.206e-08	1.839e-08	9.653e-09	1.326e-08	8.458e-09	1.227e-08	7.166e-09	1.284e-08	2.559e-08	6.282e-09	1.056e-08	1.008e-08	1.165e-08	1.015e-08	1.079e-08	9.471e-09	1.252e-08	4.327e-09	1.926e-08	3.835e-09	1.280e-08	1.599e-08	1.257e-08	1.166e-08	5.464e-09	1.239e-08	1.071e-08	1.304e-08	1.233e-08	9.676e-09	9.392e-09	3.246e-09	1.929e-08	4.882e-09	1.246e-08	1.806e-08	1.590e-08	7.434e-09	1.046e-08	1.303e-08	1.422e-08	1.533e-08	1.020e-08	1.745e-08	1.309e-08	5.441e-09	2.702e-08	1.737e-08	1.889e-08
		1500	1.193e-07	1.266e-07	1.303e-07	1.227e-07	1.133e-07	5.812e-08	1.186e-07	3.508e-07	4.464e-08	1.329e-07	8.914e-08	1.435e-07	2.021e-07	1.347e-07	7.623e-08	1.446e-07	1.339e-07	1.113e-07	5.195e-08	7.317e-08	1.112e-07	9.165e-08	8.110e-08	3.279e-07	1.083e-07	1.450e-07	8.874e-08	1.536e-07	9.349e-08	8.730e-08	7.269e-08	9.664e-08	5.039e-08	2.129e-07	4.785e-08	7.682e-08	1.458e-07	1.601e-07	1.131e-07	5.484e-08	1.138e-07	8.756e-08	1.333e-07	8.277e-08	7.660e-08	2.019e-07	6.131e-08	1.780e-07	6.402e-08	1.191e-07	7.655e-08	1.404e-07	1.126e-07	7.642e-08	9.277e-08	2.137e-07	1.397e-07	1.053e-07	1.266e-07	9.136e-08	5.934e-08	2.298e-07	1.579e-07	1.239e-07
		1500	8.342e-08	1.446e-07	8.181e-08	1.344e-07	7.526e-08	6.563e-08	8.138e-08	1.848e-07	5.243e-08	1.584e-07	8.084e-08	1.415e-07	1.340e-07	8.715e-08	9.041e-08	1.292e-07	1.390e-07	7.411e-08	9.271e-08	7.261e-08	1.302e-07	9.186e-08	1.315e-07	3.033e-07	8.661e-08	1.117e-07	8.414e-08	8.190e-08	1.030e-07	8.086e-08	9.018e-08	1.415e-07	5.780e-08	1.318e-07	4.466e-08	9.688e-08	9.588e-08	1.156e-07	9.473e-08	8.303e-08	1.153e-07	9.544e-08	1.157e-07	6.545e-08	9.085e-08	1.479e-07	7.187e-08	1.226e-07	1.012e-07	8.443e-08	9.184e-08	1.269e-07	5.440e-08	6.487e-08	1.001e-07	1.839e-07	1.089e-07	9.264e-08	1.383e-07	9.027e-08	6.297e-08	1.501e-07	1.289e-07	1.357e-07
		1500	9.427e-08	1.199e-07	4.403e-07	1.967e-07	1.138e-07	8.365e-08	1.348e-07	1.699e-07	5.068e-08	1.814e-07	9.803e-08	1.864e-07	1.419e-07	1.468e-07	1.872e-07	1.417e-07	1.439e-07	7.367e-08	1.130e-07	9.219e-08	1.537e-07	1.053e-07	9.526e-08	2.068e-07	8.565e-08	1.216e-07	1.105e-07	1.747e-07	1.132e-07	6.748e-08	9.392e-08	1.072e-07	5.863e-08	2.087e-07	4.758e-08	1.130e-07	1.076e-07	1.300e-07	1.505e-07	6.696e-08	7.714e-08	1.177e-07	1.288e-07	1.237e-07	1.084e-07	1.777e-07	5.276e-08	1.438e-07	1.185e-07	8.694e-08	9.149e-08	1.363e-07	1.320e-07	1.106e-07	1.335e-07	1.583e-07	1.340e-07	1.005e-07	1.079e-07	9.962e-08	6.480e-08	1.967e-07	1.377e-07	1.505e-07
		15000	7.565e-07	8.490e-07	5.114e-07	5.207e-07	7.294e-07	7.433e-07	6.853e-07	1.046e-06	6.723e-07	1.056e-06	8.782e-07	1.184e-06	7.045e-07	1.000e-06	1.079e-06	1.077e-06	7.151e-07	7.020e-07	4.734e-07	5.675e-07	6.070e-07	7.846e-07	5.550e-07	1.006e-06	9.083e-07	9.770e-07	5.896e-07	9.268e-07	4.919e-07	6.798e-07	7.469e-07	8.203e-07	6.901e-07	8.753e-07	3.602e-07	7.425e-07	9.405e-07	8.207e-07	4.543e-07	3.484e-07	7.403e-07	1.909e-06	1.414e-06	3.621e-07	6.461e-07	7.806e-07	3.764e-07	1.037e-06	7.180e-07	7.893e-07	9.196e-07	7.079e-07	5.637e-07	8.969e-07	1.074e-06	1.334e-06	1.073e-06	1.072e-06	6.274e-07	9.744e-07	5.565e-07	9.446e-07	1.065e-06	1.096e-06
