		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	2.060e-09	4.701e-09	3.184e-08	1.954e-09	1.641e-09	5.925e-10	1.876e-09	1.595e-09	7.700e-10	2.137e-09	6.125e-10	4.536e-09	1.437e-09	2.805e-09	6.397e-09	1.852e-09	1.704e-09	1.681e-09	1.492e-09	1.589e-09	2.804e-09	9.286e-10	1.381e-09	2.754e-09	1.212e-09	3.444e-09	2.605e-09	9.213e-10	3.828e-09	1.711e-09	2.634e-09	2.773e-09	9.348e-10	2.502e-09	1.312e-09	1.008e-08	1.142e-09	2.322e-09	1.128e-09	3.053e-09	4.760e-09	2.897e-09	2.883e-09	2.042e-09	7.171e-10	6.316e-09	2.179e-09	6.450e-09	1.437e-09	2.193e-09	1.394e-09	1.085e-09	6.970e-10	7.925e-10	2.052e-09	2.920e-09	1.964e-09	1.823e-09	1.201e-09	2.397e-09	1.313e-09	2.607e-09	4.284e-09	1.621e-09
	15	1.853e-09	2.587e-09	5.303e-08	1.962e-09	3.770e-09	1.055e-09	1.823e-09	4.250e-10	1.570e-09	1.255e-09	6.659e-10	3.221e-09	1.717e-09	1.996e-09	6.632e-09	1.801e-09	1.453e-09	1.262e-09	2.141e-09	7.832e-10	5.097e-09	1.396e-09	1.741e-09	1.970e-09	1.489e-09	1.942e-09	1.132e-09	2.386e-09	2.960e-09	6.499e-10	1.618e-09	2.245e-09	1.319e-09	2.578e-09	1.311e-09	3.553e-09	1.301e-09	9.829e-10	1.624e-09	1.015e-09	2.455e-09	1.628e-09	1.033e-09	1.091e-09	1.296e-09	3.028e-09	1.676e-09	3.110e-09	1.173e-09	1.155e-09	3.459e-09	1.018e-09	7.335e-10	1.268e-09	2.016e-09	1.707e-09	3.523e-09	3.010e-09	1.368e-09	1.290e-09	7.462e-10	2.538e-09	1.319e-09	2.391e-09
	15	3.458e-09	2.690e-09	8.962e-08	1.783e-09	1.523e-09	1.344e-09	8.106e-10	1.084e-09	2.482e-09	2.571e-09	2.063e-09	2.277e-09	2.501e-09	1.188e-09	3.714e-09	1.317e-09	1.402e-09	4.551e-09	6.035e-10	8.487e-10	1.676e-09	1.323e-09	1.522e-09	1.830e-09	1.361e-09	2.028e-09	2.391e-09	1.706e-09	9.945e-10	1.545e-09	9.095e-10	2.091e-09	4.621e-10	2.664e-09	8.742e-10	3.067e-09	1.971e-09	1.569e-09	1.636e-09	2.041e-09	2.119e-09	1.606e-09	1.125e-09	7.159e-10	9.688e-10	1.723e-09	5.883e-10	7.203e-09	8.747e-10	1.549e-09	3.203e-09	2.116e-09	1.276e-09	1.209e-09	2.671e-09	3.454e-09	3.040e-09	1.443e-09	7.366e-10	1.876e-09	1.018e-09	1.415e-09	4.378e-09	2.041e-09
	150	1.019e-08	2.227e-08	1.032e-06	1.317e-08	1.304e-08	7.465e-09	1.173e-08	9.694e-09	1.509e-08	1.779e-08	4.988e-09	2.788e-08	2.261e-08	9.532e-09	4.781e-08	1.556e-08	2.922e-08	2.460e-08	1.750e-08	8.970e-09	1.720e-08	6.557e-09	2.013e-08	1.588e-08	1.119e-08	1.151e-08	1.329e-08	2.271e-08	7.476e-09	1.238e-08	4.968e-09	1.404e-08	7.964e-09	2.539e-08	5.429e-09	1.487e-08	3.108e-08	1.949e-08	1.207e-08	7.446e-09	1.385e-08	1.557e-08	1.652e-08	4.900e-09	1.427e-08	1.846e-08	8.538e-09	3.349e-08	1.061e-08	1.116e-08	1.900e-08	1.555e-08	8.212e-09	1.032e-08	1.863e-08	1.568e-08	1.392e-08	2.209e-08	6.203e-09	2.007e-08	6.070e-09	3.595e-08	2.033e-08	1.452e-08
	150	1.566e-08	2.479e-08	6.929e-08	1.221e-08	1.285e-08	1.098e-08	9.825e-09	6.146e-09	9.460e-09	3.840e-08	9.789e-09	1.915e-08	2.139e-08	1.910e-08	3.304e-08	1.297e-08	1.276e-08	1.779e-08	1.737e-08	7.540e-09	2.024e-08	1.180e-08	1.312e-08	2.069e-08	3.711e-09	1.815e-08	1.105e-08	2.297e-08	1.584e-08	1.259e-08	1.102e-08	2.500e-08	5.953e-09	2.842e-08	7.416e-09	1.447e-08	1.580e-08	1.856e-08	1.643e-08	8.939e-09	1.371e-08	1.946e-08	1.524e-08	4.285e-09	1.867e-08	2.242e-08	6.020e-09	2.740e-08	9.561e-09	1.526e-08	2.653e-08	2.034e-08	1.356e-08	8.602e-09	1.533e-08	1.926e-08	1.368e-08	1.507e-08	1.035e-08	1.607e-08	8.156e-09	1.380e-08	1.744e-08	1.646e-08
	150	1.035e-08	2.390e-08	7.511e-08	8.529e-09	2.405e-08	8.967e-09	8.044e-09	7.823e-09	9.045e-09	2.665e-08	7.890e-09	2.172e-08	1.209e-08	1.316e-08	1.909e-08	1.234e-08	1.329e-08	1.163e-08	1.081e-08	8.540e-09	2.641e-08	8.354e-09	1.321e-08	2.531e-08	5.318e-09	9.233e-09	8.276e-09	2.142e-08	1.340e-08	1.628e-08	1.010e-08	1.340e-08	4.144e-09	2.841e-08	4.788e-09	1.327e-08	1.623e-08	1.982e-08	2.251e-08	6.287e-09	2.488e-08	2.280e-08	1.249e-08	1.039e-08	8.773e-09	1.292e-08	4.146e-09	2.030e-08	1.127e-08	1.958e-08	1.805e-08	1.545e-08	7.276e-09	9.652e-09	1.272e-08	1.554e-08	1.968e-08	1.644e-08	1.729e-08	1.480e-08	4.696e-09	3.280e-08	2.220e-08	1.521e-08
	1500	9.227e-08	1.262e-07	1.089e-07	1.571e-07	1.631e-07	4.214e-08	7.357e-08	3.984e-08	8.021e-08	1.449e-07	8.508e-08	1.295e-07	1.666e-07	1.418e-07	1.136e-07	6.786e-08	1.423e-07	1.137e-07	8.063e-08	6.270e-08	1.190e-07	9.323e-08	1.570e-07	1.715e-07	1.332e-07	1.325e-07	1.321e-07	1.435e-07	9.083e-08	8.728e-08	8.865e-08	1.080e-07	3.785e-08	2.162e-07	4.663e-08	5.701e-08	1.323e-07	9.244e-08	1.462e-07	7.018e-08	1.668e-07	1.615e-07	1.694e-07	5.770e-08	7.726e-08	2.050e-07	7.340e-08	1.424e-07	6.433e-08	1.015e-07	7.233e-08	1.141e-07	1.059e-07	7.952e-08	9.297e-08	2.204e-07	1.408e-07	1.334e-07	1.419e-07	1.084e-07	6.392e-08	2.118e-07	1.721e-07	5.856e-08
	1500	1.433e-07	1.133e-07	4.777e-08	1.520e-07	1.479e-07	5.548e-08	1.012e-07	8.639e-08	7.326e-08	1.722e-07	8.473e-08	1.310e-07	1.522e-07	1.322e-07	1.350e-07	9.480e-08	1.606e-07	8.642e-08	1.032e-07	5.320e-08	1.651e-07	1.059e-07	2.221e-07	2.929e-07	1.058e-07	1.150e-07	1.187e-07	1.212e-07	9.121e-08	9.380e-08	1.003e-07	2.471e-07	5.225e-08	1.391e-07	5.802e-08	8.048e-08	9.365e-08	1.282e-07	1.395e-07	1.191e-07	1.539e-07	1.344e-07	1.984e-07	6.534e-08	8.447e-08	1.789e-07	7.696e-08	1.159e-07	1.388e-07	8.861e-08	1.713e-07	9.783e-08	6.622e-08	5.748e-08	1.072e-07	1.758e-07	1.178e-07	1.291e-07	1.338e-07	1.223e-07	6.047e-08	1.544e-07	1.295e-07	1.788e-07
	1500	1.049e-07	1.788e-07	3.002e-07	2.998e-07	1.714e-07	1.788e-07	1.068e-07	4.916e-08	9.097e-08	2.269e-07	1.320e-07	1.809e-07	1.336e-07	1.508e-07	2.081e-07	1.184e-07	1.590e-07	9.512e-08	1.378e-07	9.774e-08	1.445e-07	1.069e-07	1.679e-07	1.671e-07	1.428e-07	1.232e-07	1.075e-07	1.380e-07	9.959e-08	8.475e-08	1.106e-07	1.834e-07	4.873e-08	1.904e-07	7.221e-08	1.866e-07	1.900e-07	1.648e-07	1.333e-07	1.291e-07	1.155e-07	1.137e-07	1.428e-07	7.653e-08	1.115e-07	1.842e-07	9.695e-08	1.825e-07	1.097e-07	9.511e-08	1.044e-07	1.069e-07	1.176e-07	9.649e-08	1.281e-07	2.296e-07	1.533e-07	1.256e-07	8.116e-08	1.279e-07	6.884e-08	1.441e-07	1.662e-07	2.352e-07
	15000	1.158e-06	1.301e-06	4.067e-07	8.800e-07	9.669e-07	9.709e-07	1.088e-06	4.231e-07	8.336e-07	1.335e-06	8.184e-07	1.671e-06	9.868e-07	9.136e-07	1.511e-06	9.282e-07	1.419e-06	8.492e-07	8.936e-07	5.766e-07	1.519e-06	6.847e-07	7.287e-07	6.756e-07	7.583e-07	1.304e-06	6.420e-07	7.684e-07	5.586e-07	8.100e-07	8.063e-07	1.224e-06	6.518e-07	1.149e-06	6.516e-07	9.545e-07	1.045e-06	9.135e-07	7.635e-07	3.877e-07	8.481e-07	2.218e-06	1.199e-06	3.894e-07	1.047e-06	1.342e-06	6.612e-07	8.262e-07	7.452e-07	1.037e-06	1.122e-06	9.481e-07	8.845e-07	9.584e-07	1.215e-06	2.165e-06	1.072e-06	1.406e-06	8.889e-07	1.513e-06	6.247e-07	1.203e-06	1.282e-06	1.014e-06
	15000	1.150e-06	1.547e-06	2.589e-07	1.090e-06	1.453e-06	7.789e-07	8.692e-07	3.152e-07	8.966e-07	1.634e-06	8.160e-07	1.756e-06	1.158e-06	9.556e-07	1.379e-06	1.043e-06	9.780e-07	8.239e-07	5.423e-07	4.195e-07	1.413e-06	6.451e-07	1.212e-06	1.278e-06	7.116e-07	1.384e-06	7.012e-07	7.560e-07	7.968e-07	1.060e-06	7.215e-07	1.244e-06	4.143e-07	1.337e-06	5.649e-07	9.980e-07	9.045e-07	1.431e-06	1.088e-06	7.255e-07	1.036e-06	1.371e-06	8.188e-07	8.116e-07	8.311e-07	2.206e-06	6.291e-07	2.081e-06	9.205e-07	1.089e-06	1.242e-06	9.554e-07	7.547e-07	7.435e-07	9.331e-07	1.250e-06	1.018e-06	1.295e-06	6.734e-07	1.400e-06	6.159e-07	1.707e-06	9.043e-07	7.833e-07
	15000	1.143e-06	7.583e-07	2.289e-07	1.175e-06	8.037e-07	8.466e-07	7.842e-07	2.662e-07	6.638e-07	1.533e-06	7.588e-07	9.550e-07	1.055e-06	7.335e-07	1.741e-06	6.750e-07	1.144e-06	1.169e-06	4.587e-07	3.729e-07	1.726e-06	5.523e-07	9.665e-07	8.073e-07	5.339e-07	1.141e-06	7.853e-07	9.568e-07	5.862e-07	9.204e-07	6.810e-07	9.762e-07	7.180e-07	1.566e-06	3.353e-07	1.271e-06	1.659e-06	1.007e-06	1.181e-06	9.328e-07	5.888e-07	1.684e-06	1.107e-06	4.356e-07	1.128e-06	1.717e-06	6.021e-07	2.532e-06	1.040e-06	1.317e-06	9.108e-07	9.711e-07	6.501e-07	8.065e-07	6.290e-07	1.168e-06	1.411e-06	1.168e-06	6.803e-07	1.335e-06	6.693e-07	1.181e-06	1.146e-06	8.749e-07
	150000	8.749e-06	8.965e-06	4.241e-06	1.091e-05	1.078e-05	6.903e-06	1.327e-05	5.622e-06	6.842e-06	1.435e-05	5.680e-06	8.945e-06	8.987e-06	9.255e-06	1.190e-05	1.228e-05	1.038e-05	1.067e-05	4.751e-06	5.033e-06	1.256e-05	6.382e-06	6.918e-06	1.511e-05	6.806e-06	9.963e-06	5.912e-06	9.875e-06	7.048e-06	7.816e-06	7.305e-06	8.938e-06	2.843e-06	1.367e-05	3.185e-06	8.551e-06	1.208e-05	1.298e-05	1.397e-05	5.797e-06	8.659e-06	1.023e-05	1.146e-05	3.804e-06	5.356e-06	1.105e-05	4.283e-06	1.564e-05	9.483e-06	1.311e-05	1.040e-05	1.705e-05	6.029e-06	7.232e-06	8.949e-06	1.148e-05	1.416e-05	9.941e-06	8.099e-06	8.065e-06	5.340e-06	1.120e-05	1.638e-05	1.321e-05
	150000	1.281e-05	8.399e-06	3.020e-06	1.374e-05	7.838e-06	5.580e-06	6.063e-06	3.819e-06	8.603e-06	1.307e-05	6.643e-06	9.764e-06	1.025e-05	9.394e-06	1.100e-05	4.879e-06	7.844e-06	5.889e-06	9.258e-06	4.777e-06	1.202e-05	7.057e-06	1.118e-05	1.292e-05	8.613e-06	8.206e-06	7.746e-06	1.174e-05	8.452e-06	6.939e-06	9.944e-06	1.120e-05	3.769e-06	1.263e-05	3.627e-06	1.484e-05	1.183e-05	9.906e-06	1.416e-05	4.988e-06	1.366e-05	1.453e-05	1.172e-05	3.677e-06	8.898e-06	1.315e-05	5.455e-06	1.460e-05	7.124e-06	1.057e-05	1.086e-05	7.452e-06	8.418e-06	5.436e-06	9.920e-06	1.420e-05	1.583e-05	1.102e-05	7.681e-06	1.038e-05	5.638e-06	1.122e-05	1.290e-05	1.026e-05
	150000	1.292e-05	7.142e-06	3.065e-06	8.808e-06	1.581e-05	1.247e-05	1.578e-05	6.906e-06	7.094e-06	1.287e-05	8.325e-06	1.120e-05	7.742e-06	1.003e-05	1.015e-05	9.400e-06	7.770e-06	1.453e-05	6.954e-06	4.600e-06	8.917e-06	5.463e-06	1.017e-05	1.229e-05	8.626e-06	8.146e-06	6.384e-06	8.636e-06	7.297e-06	9.359e-06	1.116e-05	8.506e-06	3.648e-06	1.472e-05	2.908e-06	1.201e-05	9.337e-06	8.558e-06	1.365e-05	4.825e-06	9.930e-06	1.027e-05	9.020e-06	5.682e-06	8.563e-06	1.059e-05	6.375e-06	9.904e-06	7.078e-06	1.061e-05	8.812e-06	1.068e-05	7.944e-06	6.758e-06	1.186e-05	8.142e-06	1.380e-05	1.148e-05	8.165e-06	1.391e-05	4.535e-06	9.596e-06	1.382e-05	1.356e-05
																																																																	
																																																																	
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	1.149e-05	8.169e-06	3.442e-06	1.115e-05	1.148e-05	8.318e-06	1.170e-05	5.449e-06	7.513e-06	1.343e-05	6.883e-06	9.970e-06	8.993e-06	9.560e-06	1.102e-05	8.853e-06	8.665e-06	1.036e-05	6.988e-06	4.803e-06	1.117e-05	6.301e-06	9.423e-06	1.344e-05	8.015e-06	8.772e-06	6.681e-06	1.008e-05	7.599e-06	8.038e-06	9.470e-06	9.548e-06	3.420e-06	1.367e-05	3.240e-06	1.180e-05	1.108e-05	1.048e-05	1.393e-05	5.203e-06	1.075e-05	1.168e-05	1.073e-05	4.388e-06	7.606e-06	1.160e-05	5.371e-06	1.338e-05	7.895e-06	1.143e-05	1.002e-05	1.173e-05	7.464e-06	6.475e-06	1.024e-05	1.127e-05	1.460e-05	1.081e-05	7.982e-06	1.078e-05	5.171e-06	1.067e-05	1.437e-05	1.234e-05
																																																																	
																																																																	
	0.0001	0.000179	0.000575	0.009250	0.000175	0.000143	0.000071	0.000160	0.000293	0.000102	0.000159	0.000089	0.000455	0.000160	0.000293	0.000581	0.000209	0.000197	0.000162	0.000214	0.000331	0.000251	0.000147	0.000147	0.000205	0.000151	0.000393	0.000390	0.000091	0.000504	0.000213	0.000278	0.000290	0.000273	0.000183	0.000405	0.000854	0.000103	0.000222	0.000081	0.000587	0.000443	0.000248	0.000269	0.000465	0.000094	0.000545	0.000406	0.000482	0.000182	0.000192	0.000139	0.000093	0.000093	0.000122	0.000200	0.000259	0.000135	0.000169	0.000150	0.000222	0.000254	0.000244	0.000298	0.000131
	0.0001	0.000161	0.000317	0.015407	0.000176	0.000329	0.000127	0.000156	0.000078	0.000209	0.000093	0.000097	0.000323	0.000191	0.000209	0.000602	0.000203	0.000168	0.000122	0.000306	0.000163	0.000456	0.000222	0.000185	0.000147	0.000186	0.000221	0.000169	0.000237	0.000390	0.000081	0.000171	0.000235	0.000386	0.000189	0.000405	0.000301	0.000117	0.000094	0.000117	0.000195	0.000228	0.000139	0.000096	0.000249	0.000170	0.000261	0.000312	0.000232	0.000149	0.000101	0.000345	0.000087	0.000098	0.000196	0.000197	0.000151	0.000241	0.000278	0.000171	0.000120	0.000144	0.000238	0.000092	0.000194
	0.0001	0.000301	0.000329	0.026037	0.000160	0.000133	0.000162	0.000069	0.000199	0.000330	0.000191	0.000300	0.000228	0.000278	0.000124	0.000337	0.000149	0.000162	0.000439	0.000086	0.000177	0.000150	0.000210	0.000162	0.000136	0.000170	0.000231	0.000358	0.000169	0.000131	0.000192	0.000096	0.000219	0.000135	0.000195	0.000270	0.000260	0.000178	0.000150	0.000117	0.000392	0.000197	0.000138	0.000105	0.000163	0.000127	0.000149	0.000110	0.000538	0.000111	0.000136	0.000320	0.000180	0.000171	0.000187	0.000261	0.000306	0.000208	0.000133	0.000092	0.000174	0.000197	0.000133	0.000305	0.000165
	0.001	0.000887	0.002726	0.299826	0.001181	0.001136	0.000897	0.001002	0.001779	0.002009	0.001325	0.000725	0.002796	0.002514	0.000997	0.004340	0.001758	0.003372	0.002374	0.002504	0.001867	0.001540	0.001041	0.002136	0.001182	0.001396	0.001312	0.001989	0.002252	0.000984	0.001540	0.000525	0.001470	0.002329	0.001857	0.001676	0.001260	0.002804	0.001859	0.000867	0.001431	0.001288	0.001333	0.001539	0.001117	0.001876	0.001592	0.001590	0.002503	0.001344	0.000976	0.001895	0.001326	0.001100	0.001594	0.001819	0.001391	0.000954	0.002043	0.000777	0.001861	0.001174	0.003369	0.001415	0.001176
	0.001	0.001363	0.003035	0.020131	0.001095	0.001120	0.001320	0.000839	0.001128	0.001259	0.002859	0.001422	0.001921	0.002379	0.001998	0.002999	0.001465	0.001473	0.001717	0.002486	0.001570	0.001813	0.001873	0.001392	0.001539	0.000463	0.002069	0.001654	0.002278	0.002084	0.001566	0.001164	0.002618	0.001741	0.002078	0.002289	0.001226	0.001426	0.001771	0.001180	0.001718	0.001275	0.001667	0.001420	0.000977	0.002455	0.001933	0.001121	0.002048	0.001211	0.001335	0.002647	0.001734	0.001817	0.001328	0.001497	0.001708	0.000937	0.001394	0.001297	0.001490	0.001577	0.001293	0.001214	0.001334
