		AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15	1.761e-11	6.683e-11	4.336e-08	6.739e-11	1.760e-11	8.384e-12	3.923e-11	3.818e-11	1.769e-11	5.726e-11	2.080e-11	1.050e-09	5.434e-11	4.689e-11	4.020e-11	1.020e-10	6.751e-11	1.689e-11	2.906e-11	7.033e-11	3.588e-11	2.025e-11	2.679e-11	5.826e-11	3.196e-11	1.009e-10	4.772e-11	2.984e-11	5.735e-11	9.229e-11	4.096e-11	6.995e-11	2.452e-11	2.375e-10	1.696e-11	1.160e-10	1.950e-11	1.701e-10	3.507e-11	8.666e-12	6.799e-11	9.381e-11	4.367e-11	2.111e-11	5.235e-11	9.563e-11	6.800e-11	9.237e-11	3.497e-11	5.972e-11	7.793e-11	1.821e-11	4.158e-11	2.617e-11	5.313e-11	7.013e-11	3.979e-11	4.949e-11	3.126e-11	8.633e-11	3.456e-11	7.040e-11	2.919e-11	2.996e-11
	15	3.457e-11	8.062e-11	4.925e-08	3.221e-11	8.790e-11	1.501e-11	4.697e-11	1.996e-11	2.603e-11	3.617e-11	2.741e-11	1.137e-09	7.049e-11	4.233e-11	5.664e-11	1.137e-10	6.825e-11	2.390e-11	4.920e-11	6.017e-11	4.515e-11	3.445e-11	3.254e-11	3.607e-11	7.300e-11	1.153e-10	4.475e-11	5.329e-11	5.322e-11	4.393e-11	6.255e-11	4.691e-11	2.250e-11	2.962e-10	1.739e-11	4.344e-11	2.257e-11	1.021e-10	5.580e-11	6.796e-12	6.467e-11	5.065e-11	1.924e-11	2.181e-11	8.416e-11	8.129e-11	6.666e-11	6.263e-11	2.565e-11	2.863e-11	1.146e-10	3.008e-11	4.521e-11	3.359e-11	4.616e-11	2.980e-11	6.148e-11	6.024e-11	1.296e-11	4.402e-11	2.951e-11	7.419e-11	1.678e-11	2.982e-11
	15	4.385e-11	7.496e-11	6.021e-08	5.530e-11	3.383e-11	1.358e-11	5.221e-11	6.454e-11	3.248e-11	7.034e-11	3.951e-11	4.413e-10	7.108e-11	3.976e-11	4.804e-11	1.040e-10	6.383e-11	4.300e-11	2.562e-11	6.780e-11	2.512e-11	2.385e-11	1.571e-11	5.161e-11	5.272e-11	9.279e-11	4.989e-11	6.923e-11	3.647e-11	9.001e-11	1.829e-11	6.882e-11	1.757e-11	2.504e-10	1.524e-11	2.765e-11	3.170e-11	1.675e-10	4.177e-11	1.506e-11	2.719e-11	4.525e-11	2.078e-11	1.893e-11	5.074e-11	5.700e-11	1.277e-11	1.023e-10	3.178e-11	2.948e-11	1.036e-10	2.227e-11	5.799e-11	3.423e-11	4.587e-11	6.275e-11	5.872e-11	4.301e-11	1.773e-11	4.717e-11	4.699e-11	6.517e-11	3.208e-11	2.564e-11
	150	2.439e-10	7.279e-10	1.513e-06	5.072e-10	3.994e-10	8.694e-11	5.962e-10	5.082e-10	2.515e-10	9.310e-10	3.258e-10	6.601e-09	6.943e-10	3.795e-10	4.871e-10	1.276e-09	6.313e-10	3.358e-10	3.323e-10	6.964e-10	3.936e-10	2.783e-10	3.320e-10	5.346e-10	4.335e-10	9.571e-10	4.300e-10	4.707e-10	3.622e-10	7.144e-10	2.539e-10	5.870e-10	2.703e-10	1.606e-09	1.846e-10	3.317e-10	4.498e-10	1.487e-09	5.609e-10	1.072e-10	4.556e-10	6.492e-10	3.477e-10	1.372e-10	8.162e-10	6.999e-10	2.990e-10	6.648e-10	3.539e-10	5.210e-10	8.656e-10	3.156e-10	5.518e-10	3.941e-10	3.955e-10	5.225e-10	4.391e-10	5.431e-10	2.204e-10	5.629e-10	3.006e-10	1.183e-09	3.300e-10	2.730e-10
	150	3.204e-10	8.411e-10	7.816e-08	4.929e-10	4.839e-10	1.716e-10	5.457e-10	4.132e-10	2.925e-10	7.985e-10	2.928e-10	6.284e-09	6.423e-10	4.238e-10	4.587e-10	1.210e-09	6.967e-10	2.988e-10	3.365e-10	5.768e-10	3.069e-10	2.434e-10	2.284e-10	5.042e-10	5.269e-10	8.773e-10	3.779e-10	4.553e-10	4.804e-10	6.073e-10	3.350e-10	6.513e-10	2.803e-10	1.486e-09	1.634e-10	3.029e-10	3.842e-10	1.528e-09	6.501e-10	7.153e-11	4.718e-10	5.849e-10	3.335e-10	1.527e-10	8.572e-10	6.414e-10	3.299e-10	6.909e-10	3.921e-10	4.647e-10	1.000e-09	3.351e-10	4.845e-10	2.924e-10	3.978e-10	5.163e-10	3.655e-10	4.873e-10	2.051e-10	5.139e-10	3.451e-10	1.026e-09	3.130e-10	2.755e-10
	150	2.877e-10	7.849e-10	6.592e-08	4.231e-10	4.794e-10	1.507e-10	5.668e-10	4.309e-10	2.879e-10	6.927e-10	2.623e-10	6.075e-09	5.910e-10	3.883e-10	3.657e-10	1.086e-09	7.403e-10	2.771e-10	3.780e-10	6.326e-10	3.492e-10	2.531e-10	2.672e-10	5.523e-10	3.920e-10	1.023e-09	3.323e-10	4.894e-10	4.731e-10	5.718e-10	3.127e-10	5.100e-10	2.330e-10	1.501e-09	1.234e-10	2.990e-10	3.434e-10	1.235e-09	6.569e-10	9.078e-11	4.024e-10	5.538e-10	3.153e-10	1.690e-10	6.004e-10	6.581e-10	2.495e-10	6.116e-10	3.686e-10	4.452e-10	7.122e-10	3.567e-10	5.792e-10	2.958e-10	4.543e-10	5.065e-10	4.250e-10	4.857e-10	1.991e-10	6.393e-10	3.452e-10	9.722e-10	2.460e-10	2.721e-10
	1500	3.607e-09	9.008e-09	1.368e-07	5.779e-09	5.354e-09	2.440e-09	6.532e-09	5.275e-09	3.544e-09	9.377e-09	3.729e-09	5.631e-08	8.041e-09	4.870e-09	5.662e-09	1.159e-08	8.326e-09	4.000e-09	4.542e-09	7.573e-09	4.122e-09	4.065e-09	3.449e-09	6.979e-09	5.316e-09	1.030e-08	5.416e-09	6.196e-09	5.124e-09	7.284e-09	5.224e-09	6.672e-09	3.345e-09	1.800e-08	2.043e-09	4.232e-09	4.721e-09	1.774e-08	7.085e-09	1.244e-09	5.659e-09	8.160e-09	4.111e-09	2.428e-09	8.935e-09	9.393e-09	4.237e-09	8.930e-09	4.972e-09	5.903e-09	9.497e-09	4.769e-09	6.574e-09	4.384e-09	4.749e-09	6.436e-09	5.465e-09	6.727e-09	3.026e-09	6.704e-09	5.154e-09	1.285e-08	3.957e-09	4.081e-09
	1500	3.326e-09	8.206e-09	8.632e-08	5.461e-09	4.912e-09	1.664e-09	6.540e-09	5.162e-09	3.273e-09	8.484e-09	4.021e-09	5.388e-08	8.186e-09	4.849e-09	4.566e-09	1.228e-08	7.845e-09	3.938e-09	3.762e-09	7.093e-09	4.332e-09	3.786e-09	3.587e-09	5.572e-09	4.781e-09	9.789e-09	4.950e-09	5.377e-09	5.122e-09	7.403e-09	4.712e-09	6.463e-09	3.437e-09	1.567e-08	2.030e-09	4.320e-09	4.115e-09	1.454e-08	6.729e-09	1.342e-09	5.291e-09	7.572e-09	4.228e-09	2.154e-09	7.787e-09	8.831e-09	3.785e-09	8.078e-09	3.928e-09	6.430e-09	8.867e-09	4.888e-09	6.373e-09	4.402e-09	5.571e-09	5.878e-09	4.975e-09	6.835e-09	3.175e-09	6.981e-09	4.676e-09	1.135e-08	3.240e-09	3.631e-09
	1500	3.764e-09	6.892e-09	3.005e-07	5.736e-09	5.255e-09	2.264e-09	7.206e-09	5.321e-09	3.061e-09	9.534e-09	4.705e-09	6.498e-08	8.101e-09	4.930e-09	5.140e-09	1.223e-08	7.427e-09	3.859e-09	4.092e-09	7.646e-09	3.986e-09	3.624e-09	3.322e-09	6.443e-09	5.068e-09	9.482e-09	5.630e-09	5.679e-09	5.019e-09	7.247e-09	4.225e-09	6.676e-09	3.549e-09	1.730e-08	2.034e-09	3.821e-09	3.707e-09	1.526e-08	7.413e-09	1.482e-09	5.711e-09	7.564e-09	4.866e-09	2.140e-09	9.098e-09	8.470e-09	3.279e-09	8.524e-09	4.457e-09	5.401e-09	1.015e-08	4.453e-09	6.960e-09	4.393e-09	5.162e-09	6.183e-09	5.324e-09	6.362e-09	2.740e-09	6.299e-09	3.997e-09	1.183e-08	3.581e-09	3.602e-09
	15000	3.966e-08	9.733e-08	6.837e-07	5.968e-08	5.245e-08	2.761e-08	6.659e-08	5.170e-08	3.632e-08	9.522e-08	4.973e-08	4.488e-07	7.348e-08	4.950e-08	5.300e-08	1.184e-07	7.593e-08	4.471e-08	4.462e-08	7.077e-08	4.399e-08	4.119e-08	3.579e-08	6.658e-08	5.323e-08	1.052e-07	5.114e-08	6.485e-08	4.779e-08	7.464e-08	5.165e-08	7.154e-08	3.856e-08	1.508e-07	2.244e-08	4.185e-08	4.626e-08	1.489e-07	6.954e-08	1.713e-08	5.872e-08	7.619e-08	4.717e-08	2.375e-08	8.582e-08	9.128e-08	4.078e-08	1.053e-07	4.692e-08	5.624e-08	1.011e-07	4.752e-08	6.708e-08	4.729e-08	5.446e-08	6.784e-08	5.065e-08	6.857e-08	3.301e-08	7.306e-08	5.860e-08	1.190e-07	3.805e-08	4.132e-08
